,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
0,4,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),5,2,Universitätsallee
1,14,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),4,7,Bei Mönchsgarten
2,15,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),5,13,Hermann-Löns-Straße
3,17,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),12,6,Wilhelm-Leuschner-Straße
4,18,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),7,6,Graf-von-Moltke-Straße
5,19,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),2,6,St.-Stephanus-Platz
6,20,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),9,14,Konrad-Adenauer-Straße
7,21,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),5,13,Waldfriedhof
8,22,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),9,13,Schäferfeld
9,23,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),6,13,Kurt-Schumacher-Straße
10,24,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),10,13,Blümchensaal
11,25,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),6,5,Theodor-Heuss-Straße
12,26,node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),4,5,Venusberg (Johanneum)
13,27,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),2,5,Ziegelkamp
14,28,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),8,5,Am Schützenplatz
15,41,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,3,Wichernstraße
16,42,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),0,,Anna-Vogeley-Heim
17,43,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),1,3,Am Elsenbruch
18,44,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),8,3,Röntgenstraße / Kirche
19,45,node,322051838,10.4028648,53.2207693,POINT (10.4028648 53.2207693),4,3,Röntgenstraße
20,46,node,322053787,10.404717,53.2192047,POINT (10.404717 53.2192047),2,3,Planckstraße
21,49,node,332563449,10.4106941,53.2531248,POINT (10.4106941 53.2531248),1,11,Reichenbachplatz
22,50,node,333235522,10.4092892,53.2522431,POINT (10.4092892 53.2522431),14,11,Bürgeramt
