name,passengers
Abzweigung Bennerstedt,1
Lüneburger Straße,6
"Karze, An den Hauskoppeln",2
Universitätsallee,10
"Artlenburg, Grünstraße",3
Bei Mönchsgarten,5
Hermann-Löns-Straße,9
Wilhelm-Leuschner-Straße,26
Graf-von-Moltke-Straße,9
St.-Stephanus-Platz,17
Konrad-Adenauer-Straße,10
Waldfriedhof,14
Schäferfeld,9
Kurt-Schumacher-Straße,17
Blümchensaal,16
Theodor-Heuss-Straße,1
Venusberg (Johanneum),6
Ziegelkamp,16
Am Schützenplatz,9
"Deutsch Evern, Triftstraße",6
Becklingen,5
"Radbruch, Schäfer-Ast-Straße",5
"Thomasburg, Radenbecker Weg",5
Abzweig Dumstorf,3
"Köstorf, Abzw. Barskamp",3
Abzweig Radenbeck,3
Mitte / B216,2
Breetzer Straße,1
Wichernstraße,2
Anna-Vogeley-Heim,6
Am Elsenbruch,9
Röntgenstraße / Kirche,5
Röntgenstraße,7
Planckstraße,4
Neetzebrücke,6
Reichenbachplatz,8
Bürgeramt,9
"Radenbeck, Siedlung",8
Markt,11
Meisterweg,11
Hansestraße,15
Henningstraße,9
Pulverweg (Nord),9
Theodor-Haubach-Straße,13
Bülows Kamp,12
Klosterkamp,8
Hermann-Wagner-Straße,16
Hinrich-Wilhelm-Kopf-Straße,13
"Handorf, Grundschule",10
Im Kirchfelde,8
"Barum, Am Sportplatz",9
Am Sande,9
Oedeme Dorf,11
Im Kamp,5
Scharnhorststraße/DJH,6
Blücherstraße,3
Imkerstieg,10
Neue Straße,1
Danziger Weg,1
MTV-Platz,6
Kurpark,8
Uelzener Straße (Kurzentrum),7
Munstermannskamp,11
Osterwiese,9
Klosterweg,5
Ginsterweg,9
Am Schwalbenberg,4
Wallstraße (Theater),15
Postamt,9
Hasenburg,6
Eintracht Sportplatz,11
Am Bahnhof Rettmer,7
Wiesengrund,4
Pilgerpfad,7
Am Wischfeld,8
Hessenweg (Mitte),10
Am Bäckfeld,7
Häcklinger Weg,7
B 4 Parkplatz,6
Stadttheater,10
Sültenweg,12
Am Grasweg,8
Jägerstraße,7
Johanna-Stegen-Straße,5
Vor dem Neuen Tore,5
Dörnbergstraße,9
Witzendorffstraße,5
Ebelingweg,9
Naruto-Straße,8
Krähornsberg,9
Teilfeld,12
Wilhelm-Hänel-Weg,14
Am Wildgehege,5
Laffertstraße,13
Schomakerstraße,7
Am Springintgut,10
Am Graalwall,11
Neue Sülze,13
Lambertiplatz,18
Rathaus,10
Kefersteinstraße (UNI),9
Gut Willerding,4
Bahnhof,7
Von-Kleist-Weg,7
"Deutsch Evern, Fritz-Reuter-Straße",4
"Deutsch Evern, Friedhof",4
Deutsch Everner Weg,6
"Deutsch Evern, An der Ilmenau",4
"Deutsch Evern, Wandelfeld",5
"Deutsch Evern, Finkenstieg",3
"Deutsch Evern, Petersberg",5
"Deutsch Evern, Am Tiergarten",2
"Deutsch Evern, Tiergartenstraße",8
"Deutsch Evern, Birkenweg",2
Schützenstraße,6
Im Alten Dorfe,7
Am Kreideberg,5
Stöteroggestraße (Süd),10
Boizenburger Straße,7
Thorner Straße (West),6
Thorner Platz,10
Salzwedeler Straße,4
Elbinger Straße,13
Dessauer Straße,3
Magdeburger Straße,13
Stöteroggestraße (Nord),9
Brücke,6
Hasenburger Weg,7
Wallstraße,9
Elba,2
Landwehrplatz,6
Bardowicker Straße,6
Lübbelau,11
Finkenweg,8
"Lemgrabe, Am Hasenberg",5
Lilienthalstraße,4
Von-Stern-Straße,6
Eisenwerk,4
Gebrüder-Heyn-Straße,6
Hagen-Schule,4
Wacholderweg,3
Ahornweg,4
Adendorfer Straße,12
Boltersener Straße,5
"Boltersen, Rullstorfer Straße",3
Nutzfelder Weg,6
Hauptstraße,5
Sportzentrum,3
Grundschule,11
Weinbergsweg Schule,0
Meisterstraße,2
Jürgenstorfer Straße,7
K 2 / Zum Bahnhof,4
Alte Dorfstraße,4
"Scharnebeck, Echemer Straße",6
"Lentenau, K28",4
"Reinstorf, Reinstorfer Kreuz",5
Im Sande,5
Kirche,12
Im Wiesengrund,4
Landwehr,8
Hagemannsweg,6
Schulzentrum,6
Floetstraße,4
Rote Schleuse,9
"Melbeck, Uelzener Straße",6
Bernhard-Riemann-Straße,8
Von-Stauffenberg-Straße,0
Rauher Weg,0
"Heiligenthal, Ort",12
In de Tüünen,7
Heiligenthaler Straße,6
"Melbeck, Danziger Straße",10
"Embsen, Siedlung",6
Kulturforum Wienebüttel,3
"Brietlingen, Schierenweg",5
"Brietlingen, Moorweg",5
Ritzkamper Weg,6
Schwarzer Weg,9
Gut Olm,9
Abzweigung Ebensberg,7
Erbstorfer Landstraße,0
Hölderlinstraße,7
"Wendewisch, Campingplatz",3
"Riecklingen, Abzweigung",6
Leestahl 2,6
Am Kirchkamp,5
Schule A,7
"Embsen, Bahnhofstraße",2
"Embsen, Querlberg",5
"Horndorf, Zur Doven Elbe",4
"Reinstorf, Hauptstraße",8
Forsthaus,6
"Barum, Abzweig Horburg",14
"Barum, Am See",11
"Oerzen, Fliederstraße",6
Hohe Luft,7
"Bavendorf, Im Dorfe",4
"Reinstorf, Am Vitusbach",6
Neumühlener Weg,4
Möhlenkamp,7
Auf der Hausstelle,7
Feuerwehr,6
Ostlandring,5
Freibad,6
Kreuzkamp,0
Robert-Koch-Straße,0
Friedhof,1
Heinrich Heine Siedlung,0
An der Bünte,1
Heinrich-Hille-Straße,2
Weinbergsweg,0
"Radenbeck, Linnenkamp",2
"Radenbeck, Dorfstraße",5
Siedlung,3
"Brietlingen, Am Sportplatz",5
Goebelstraße,3
"Echem, Schulstraße",5
Grüner Weg,0
Lindenweg,0
Otto-Brenner-Straße (Kehre),5
"Brietlingen, Stettiner Ring",8
Sternkamp,4
Kirchweg,1
Bunsenstraße,6
Bachstraße,6
Rosenkamp,10
Schmiedestraße,4
Rehrweg,8
"Wittorf, Wiesenstraße",10
Volgershall/UNI,7
Städtisches Klinikum,6
"Lüdersburg, Kirchtwiete",9
Abzweigung Jürgenstorf,2
Melbeck Grundschule,4
Gifkendorf,1
B 209,4
Gerhart-Hauptmann-Straße,6
Händelstraße,12
Alter Postweg,8
Lessingstraße,10
Am Fuchsberg,11
Im Westerfelde,14
Behördenzentrum (Ost),5
Psychiatrische Klinik,6
Am Bruch,12
Bei der Pferdehütte,4
Alec-Moore-Straße,9
Am Bargenturm,19
Heidkoppelweg,4
Memeler Straße,13
William-Watt-Straße,7
Allensteiner Straße,8
"Erbstorf, Wendeplatz",0
Jüttkenmoor,6
Am Ziegeleiteich,11
Ostlandstraße (Schule),12
Schnellenberger Weg,9
Ostlandstraße Spielplatz,7
Am Lerchenberg,6
Am Schwarzen Berg,10
Steinweg,0
Im Gutspark,0
Virchowstraße,0
Teichaue,0
Moorchaussee,0
Kastanienallee,1
Katzenweg,0
Friedrich-Ludwig-Jahn-Straße,10
Rotes Tor,7
Goethestraße,13
Hagen Wendeplatz,0
Hopfengarten,10
Wielandstraße,12
Hans-Steffens-Weg,8
Gaußstraße,13
Heinrich-Böll-Straße,9
Carl-von-Ossietzky-Straße,3
Otto-Brenner-Straße,4
Flugplatz,4
Walter-Bötcher-Straße,8
Stadtkoppel,6
Kurt-Höbold-Straße,5
Richard-Brauer-Straße,2
Elso-Klöver-Straße,7
Gellersstraße,8
Wilhelm-Fressel-Straße,4
Große Hof,3
Abzw. Betzendorf,5
Schildsteinweg,13
Bauerholzweg,10
Kampweg,4
Wiesenweg,9
Mühlenberg,6
Bokenkamp,5
Finanzamt,4
Auf dem Schmaarkamp,3
Auf der Hude,8
Tennispark,4
Kiefernweg,5
Brockwinkler Weg,8
Dachtmisser Weg,9
Niendorfer Weg,4
Große Straße,4
"Göddingen, Wöppenberg",4
"Göddingen, Am Fischteich",4
Neu Oerzen,8
"Wendhausen, Im Ort",3
"Melbeck, Gymnasium",5
Ebstorfer Straße,6
"Barendorf, Dorfstraße",6
Neu Häcklingen,4
Am Rischpool,4
Robert-Schumann-Straße,0
Königsberger Weg,1
Kornblumenweg,1
Röthenweg,0
Zeltberg,4
Dorfplatz,9
Am Stadtberg,14
Pumpenstation,14
Friedhofsweg,7
Heimathaus,4
Marschweg,4
"Bleckede, Auf dem Kamp",2
Saatbau,2
Fähranleger,4
Buendorf,3
Quickborn,8
"Nindorf bei Bleckede, L222",6
"Bleckede, Dahlenburger Straße",3
"Bleckede, Waldfrieden",2
"Neu Wendischthun, Abzweig",0
Neu Wendischthun,4
Vor der Westermarsch,6
"Artlenburg, Elbdeich",8
Scharnebecker Straße,11
"Rullstorf, Am Neetzekanal",10
"Vastorf, Abzweigung Bahnhof",1
Denkmal,8
"Brietlingen, Ort",4
"Walmsburg, Bruchdorfer Straße",0
"Garze, Große Straße 29",3
"Nutzfelde, Am Walde",11
Vrestorfer Weg,12
Thiessendörper Weg,5
Am Diemel,8
Ätzberg,5
"Hittbergen, Roggenberg",3
Südergellerser Weg,9
Hauptstraße (L 216),11
Teufelsküche,11
Im Dorfe,13
Neu Süttorf,8
Am Dorfplatz,3
"Sülbeck, An den Eichen (L 221)",3
Bühringsmoor,3
Radbrucher Weg,13
Wendeplatz,10
Witwenkamp,11
Ernst-Braune-Straße,9
"Hittbergen, Kirche",2
Leuphana,12
Ort,1
"Neu Neetze, Am Milchberg",2
"Neu Neetze, Birkenhof",4
"Bleckeder Moor, Abzweigung",3
"Karze, Auf dem Weel",6
Große Straße 71,1
Große Straße 3,3
Lüner Rennbahn,7
Schlachthof,0
Auf den Blöcken,15
"Bleckede, Rathaus",0
Töpferdamm,3
"Walmsburg, Kateminer Straße",4
"Barskamp, Markt",2
"Bleckede, Elbweg",2
"Alt Garge, Waldbad",2
Brennbusch,4
Walmsburger Straße,5
Turnhalle,4
,7
"Bleckede, Schiedenitzweg",0
Schieringen,4
"Reeßeln, Abzweigung",4
"Breetze, Bokelstraße",4
"Breetze, Ziegelei",7
"Artlenburg, Ost",9
Bessemerstraße,6
SZ Kaltenmoor,16
Rettmer (Mitte),9
"Oerzen, Im Dorfe",5
"Amelinghausen, Grundschule",23
Kastanienweg,27
Dehnsener Straße,31
"Amelinghausen, Kirche",20
Soltauer Straße,27
Kloster Lüne,6
Nikolaihof,7
DRK-Heim,2
Hasenburger Berg,8
Zentralfriedhof,8
Am Eiskeller,10
Auf dem Knieberg,12
Heidkamp,9
Meinekenhop,6
Ringstraße,7
Soltauer Straße (Kurzentrum),10
Sandfeld,0
Kurt-Löwenstein-Schule,5
Clamartpark,13
Hasenburger Schule,6
Rosenkamp Wendeplatz,12
Övelgönner Weg,7
Bahnhofstraße,9
St.-Nikolai-Straße (Schule),4
Königsberger Straße,4
Pieperstraße,8
Am Graben,2
Böcklerstraße/TÜV,5
Eisenbahnbrücke,3
Goseburgstraße,5
Ilmenaucenter,2
Konrad-Zuse-Allee,7
Dorfstraße,1
EDEKA,6
Brockwinklerweg,0
"Wendewisch, Hittberger Straße 56",5
"Erbstorf, Feuerwehr",1
An der Roten Bleiche (Universität),10
Feldstraße (Universität),13
GHS Kreideberg,10
Herderschule,13
Spechtsweg,14
Abzweig Sommerbeck,4
Ehrenfriedhof,6
Kanalbrücke,7
Amselweg,5
Heinsen,3
Georg - Chors - Weg,13
"Boltersen, Bahnhofstraße",3
Im Ort,6
Neumühlen bei Rullstorf,2
Das Rote Feld,10
"Alt Garge, Hauptstraße",3
"Eimstorf, Ort",4
Alte Salzstraße,6
Artlenburger Landstraße,0
Bockelheide,8
"Wittorf, Birkenweg",15
Veilchenring,4
"Horburg, Im Winkel",12
"Horburg, Schule",7
"St. Dionys, Gotenweg",13
"Artlenburg, Hopfenhof",8
"Barförde, Barförder Elbdeich 22",3
"Dahlenburg, Mittelfeld",3
"Dahlenburg, Ehrenfriedhof",9
"Bockelkathen, Auf dem Kreuze",4
"Lüdersburg, Bachkoppelweg",4
"Rosenthal, Ortsmitte",3
"Bleckeder Moor, Zweiter Moorweg",5
"Karze, Am Rotdorn",1
"Neu Jürgenstorf, Ort",6
"Neu Jürgenstorf, Rosenthaler Weg",3
"Neu Neetze, Haus Nr. 50",2
"Garlstorf, Dorfstraße 36",3
"Garlstorf, Dorfstraße 68",4
"Radegast, Pferdekoppel",5
"Radegast, Zum Kirchplatz",1
"Radegast, Elbuferstraße 41",2
"Wendewisch, Hittberger Straße 59",3
"Wendewisch, Siedlung",5
"Barförde, Feuerwehr",3
"Barförde, Hinter den Höfen",5
"Garlstorf, Schmiede",6
"Bullendorf, Brücke",4
"Hittbergen, Feldstraße",8
"Hittbergen, Im Kamp",4
"Hittbergen, Schönfeld",5
Wennekath 5,8
Wennekath 8,6
Süttorf,4
Neu Bleckede,4
"Dahlenburg, Fliederweg",11
"Lemgrabe, An der Kleinbahn",9
Birkenhof,7
"Ellringen, Ellringer Neetzetal",6
Klein Sommerbeck 15,3
"Wiecheln, Abzweig K 26",3
"Barskamp, Hohe Luft",2
Feldstraße,6
"Radbruch, Peerort",12
"Echem, Dorfstraße",9
"Marienthal, Alte Salzstraße",5
"Radbruch, Mühle",12
"Radbruch, Wittorferweg",9
"Bardowick, Wendeplatz",7
Hamburger Landstraße,9
"Artlenburg, Mühle",6
"Dachtmissen, Waldweg",11
"Wittorf, Hauptstraße",5
"Wittorf, Brücke",8
"Wittorf, Neulander Weg",6
"Handorf, Mühle",9
"Handorf, Ortsmitte",2
"Vastorf, Gifkendorfer Straße",3
"Vastorf, Bahnbrücke",5
"Horndorf, Kreuzung B 216",1
"Rohstorf, Ort",1
Volkstorf,5
Schule B,2
"Ellringen, Kettelberg",2
"Neetze, Am Ried",4
"Neu Jürgenstorf, Ahrenschulter",6
"Rosenthal, L 219",8
Vogelsang 11,5
"Vogelsang, Ort",3
"Bleckeder Moor, Heidmoor",6
"Bleckeder Moor, Fuchsweg",3
"Garlstorf, Neu Brackede",4
"Brackede, Abzweig Garlstorf",2
"Barförde, Poggenort",1
"Barförde, Elbdeich 15",1
Kirchgellerser Straße,9
"Südergellersen, Stähwiesen",16
"Kirchgellersen, Grundschule",8
Dachtmisser Straße,16
"Amelinghausen, Bahnhof",27
Tartuer Platz,3
"Wendhausen, Wendenstraße",4
"Holzen, Op dan Brink",5
"Neu Neetze, Denker",5
"Gienau, Wiebecker Straße",5
Groß Sommerbeck 3,5
"Neu Neetze, Tennisclub",10
Konrad-Adenauer-Straße Ost,16
