name,x,y,osmid,passengers,cluster
Abzweigung Bennerstedt,10.4869702,53.3146462,1830066645,3,18.0
Lüneburger Straße,10.5227006,53.2288511,8523611360,2,20.0
"Karze, An den Hauskoppeln",10.6739869,53.314295,4363687998,4,8.0
Universitätsallee,10.4052614,53.230091,175237700,11,43.0
"Artlenburg, Grünstraße",10.4921805,53.3719336,957142825,0,
Bei Mönchsgarten,10.3904939,53.2529278,293938369,3,44.0
Hermann-Löns-Straße,10.4357546,53.2611082,298511484,0,
Wilhelm-Leuschner-Straße,10.4442936,53.236347,114241120,12,28.0
Graf-von-Moltke-Straße,10.4385436,53.2372693,1459109815,15,39.0
St.-Stephanus-Platz,10.4347836,53.2385554,414692562,9,39.0
Konrad-Adenauer-Straße,10.4319275,53.2377656,7960254627,20,28.0
Waldfriedhof,10.429653,53.2361294,275404815,16,33.0
Schäferfeld,10.4287246,53.2378491,1872332223,0,
Kurt-Schumacher-Straße,10.4269383,53.2401354,279632687,15,33.0
Blümchensaal,10.4230445,53.2433336,307769211,14,33.0
Theodor-Heuss-Straße,10.4329576,53.2462219,1053737986,10,26.0
Venusberg (Johanneum),10.4303141,53.2465477,301861007,8,26.0
Ziegelkamp,10.4276158,53.2474105,301860995,0,
Am Schützenplatz,10.4236403,53.2487451,201192065,10,26.0
"Deutsch Evern, Triftstraße",10.4383763,53.2028361,309164430,0,
Becklingen,10.638701,53.1685565,272771855,8,13.0
"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371,311743901,4,7.0
"Thomasburg, Radenbecker Weg",10.6537654,53.2297167,4133634392,0,
Abzweig Dumstorf,10.6967738,53.1893837,313574492,7,9.0
"Köstorf, Abzw. Barskamp",10.7566624,53.2330487,3790432850,3,9.0
Abzweig Radenbeck,10.6206885,53.2012926,1713950571,5,9.0
Mitte / B216,10.6378781,53.1973134,369792808,3,9.0
Breetzer Straße,10.7248594,53.2821702,319989751,4,3.0
Wichernstraße,10.397792,53.2268409,276915521,15,48.0
Anna-Vogeley-Heim,10.3984829,53.2251001,1690093376,3,48.0
Am Elsenbruch,10.4012942,53.2245326,1690093389,6,48.0
Röntgenstraße / Kirche,10.4024801,53.2227054,322053789,9,48.0
Röntgenstraße,10.4028648,53.2207693,322051827,5,48.0
Planckstraße,10.404717,53.2192047,322053484,0,
Neetzebrücke,10.6150702,53.2650616,323130818,4,13.0
Reichenbachplatz,10.4106941,53.2531248,333248611,0,
Bürgeramt,10.4092892,53.2522431,332606128,14,27.0
"Radenbeck, Siedlung",10.6264241,53.2178751,336363945,10,13.0
Markt,10.7418278,53.1870816,314666239,11,0.0
Meisterweg,10.4317204,53.2599086,317179812,12,22.0
Hansestraße,10.4261391,53.2555935,705465966,0,
Henningstraße,10.4233245,53.2525633,296886493,12,22.0
Pulverweg (Nord),10.422458,53.2511748,201192013,11,22.0
Theodor-Haubach-Straße,10.4422643,53.2341433,274309813,17,28.0
Bülows Kamp,10.4459154,53.2314995,114240790,17,24.0
Klosterkamp,10.4460096,53.2292609,414685401,0,
Hermann-Wagner-Straße,10.4441928,53.2288883,1249144962,19,28.0
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,282853219,22,39.0
"Handorf, Grundschule",10.3467072,53.3419322,452997887,0,
Im Kirchfelde,10.3196032,53.2800856,2301671297,0,
"Barum, Am Sportplatz",10.4088761,53.3509372,292157701,12,10.0
Am Sande,10.4107075,53.2477583,4013236506,12,42.0
Oedeme Dorf,10.3769693,53.228942,7173992955,0,
Im Kamp,10.3850765,53.2222253,374359791,13,38.0
Scharnhorststraße/DJH,10.3971229,53.2300297,276915516,11,43.0
Blücherstraße,10.4000814,53.2311691,1658400344,6,43.0
Imkerstieg,10.388762,53.2746341,249238920,0,
Neue Straße,10.431328,53.274525,387439255,0,
Danziger Weg,10.4383568,53.2816633,546443116,1,27.0
MTV-Platz,10.4049563,53.2353498,268638584,12,51.0
Kurpark,10.4043801,53.2384105,111246549,12,51.0
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,114242620,11,42.0
Munstermannskamp,10.4052689,53.232103,305382797,0,
Osterwiese,10.3746107,53.2148267,402986884,6,38.0
Klosterweg,10.371994,53.2117385,403012178,8,38.0
Ginsterweg,10.3959836,53.2326736,3348587797,9,52.0
Am Schwalbenberg,10.4223308,53.2459133,1057013365,8,33.0
Wallstraße (Theater),10.4072015,53.245682,262253660,29,42.0
Postamt,10.4038332,53.2429593,539018433,14,42.0
Hasenburg,10.3940989,53.2255233,297426712,10,43.0
Eintracht Sportplatz,10.3854737,53.2211913,389948830,0,
Am Bahnhof Rettmer,10.3816755,53.21947,402916911,9,38.0
Wiesengrund,10.3746747,53.2134269,403012164,9,38.0
Pilgerpfad,10.3783934,53.2099019,2618162533,0,
Am Wischfeld,10.3882696,53.2112187,7799257024,12,32.0
Hessenweg (Mitte),10.3879839,53.2138366,3267192184,12,32.0
Am Bäckfeld,10.3886319,53.2166547,393498311,12,43.0
Häcklinger Weg,10.387037,53.2197354,402916874,13,43.0
B 4 Parkplatz,10.345182,53.3345096,353270704,13,23.0
Stadttheater,10.4076949,53.2439859,268415869,0,
Sültenweg,10.3929476,53.244192,2907063685,0,
Am Grasweg,10.3881566,53.2461189,318640483,7,49.0
Jägerstraße,10.3847644,53.2489566,382390327,0,
Johanna-Stegen-Straße,10.3874009,53.2494991,268233024,9,49.0
Vor dem Neuen Tore,10.3924213,53.2500778,178848802,5,49.0
Dörnbergstraße,10.3938125,53.2511306,828077495,10,44.0
Witzendorffstraße,10.3923654,53.2565779,308648777,5,46.0
Ebelingweg,10.3911893,53.2614652,4827722223,14,44.0
Naruto-Straße,10.3852786,53.2693964,414191921,8,44.0
Krähornsberg,10.3867792,53.2706226,381911675,10,37.0
Teilfeld,10.3895463,53.2794573,414237511,10,37.0
Wilhelm-Hänel-Weg,10.4044742,53.2699592,2371152648,11,35.0
Am Wildgehege,10.3891011,53.2686373,317133890,0,
Laffertstraße,10.3930618,53.255513,1037002221,9,46.0
Schomakerstraße,10.3996894,53.2540821,293976961,0,
Am Springintgut,10.4002528,53.2521255,178844318,12,46.0
Am Graalwall,10.4027651,53.2509053,121149168,23,50.0
Neue Sülze,10.4040892,53.2478008,2990731692,17,50.0
Lambertiplatz,10.4031072,53.2456516,262253493,14,53.0
Rathaus,10.4068106,53.2506572,262229788,15,50.0
Kefersteinstraße (UNI),10.4102138,53.2406193,181308509,11,40.0
Gut Willerding,10.4566119,53.225116,109895066,5,24.0
Bahnhof,10.4336107,53.2000625,385545644,0,
Von-Kleist-Weg,10.4311623,53.1971633,385545626,0,
"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183,1834313719,8,17.0
"Deutsch Evern, Friedhof",10.4232358,53.1924397,1834313713,0,
Deutsch Everner Weg,10.4159088,53.1860963,420381006,5,17.0
"Deutsch Evern, An der Ilmenau",10.4196648,53.1957057,385545545,7,17.0
"Deutsch Evern, Wandelfeld",10.4201711,53.1978557,393415825,8,17.0
"Deutsch Evern, Finkenstieg",10.4204929,53.2018114,385545543,10,17.0
"Deutsch Evern, Petersberg",10.4170104,53.2056615,385545536,6,32.0
"Deutsch Evern, Am Tiergarten",10.4186211,53.2073704,272618493,14,32.0
"Deutsch Evern, Tiergartenstraße",10.4293826,53.2061751,7462422450,0,
"Deutsch Evern, Birkenweg",10.4432816,53.2042662,309179087,0,
Schützenstraße,10.4452134,53.2035664,5254285882,0,
Im Alten Dorfe,10.2968669,53.2083215,2316338604,0,
Am Kreideberg,10.4042363,53.255164,181396837,6,46.0
Stöteroggestraße (Süd),10.4020549,53.2556211,181396824,14,46.0
Boizenburger Straße,10.3989629,53.2574691,500905961,0,
Thorner Straße (West),10.3943921,53.2585943,1029618352,11,46.0
Thorner Platz,10.3997927,53.2595982,312506373,12,45.0
Salzwedeler Straße,10.4032549,53.2606612,253248083,0,
Elbinger Straße,10.4028514,53.2627146,312510075,11,45.0
Dessauer Straße,10.401462,53.2641491,312510076,11,45.0
Magdeburger Straße,10.3993732,53.266558,534870775,13,45.0
Stöteroggestraße (Nord),10.3993537,53.2644566,534870781,0,
Brücke,10.3810417,53.331609,2537095304,17,23.0
Hasenburger Weg,10.3832526,53.2287752,408449519,17,54.0
Wallstraße,10.3864893,53.3009499,1678365436,0,
Elba,10.4271323,53.2961666,312185027,1,18.0
Landwehrplatz,10.3574147,53.2479717,9028646324,9,47.0
Bardowicker Straße,10.5031696,53.2949054,443886412,11,19.0
Lübbelau,10.4989646,53.2938205,344892589,5,19.0
Finkenweg,10.3619305,53.2704586,286511203,14,41.0
"Lemgrabe, Am Hasenberg",10.7044397,53.1711381,314645636,8,0.0
Lilienthalstraße,10.4599879,53.2437212,1599089598,7,20.0
Von-Stern-Straße,10.4625961,53.245733,1599748806,5,20.0
Eisenwerk,10.4692372,53.249358,119994771,5,20.0
Gebrüder-Heyn-Straße,10.4656699,53.248161,7819577982,10,20.0
Hagen-Schule,10.4473637,53.2440639,373161834,6,25.0
Wacholderweg,10.4425033,53.2452459,119100610,7,25.0
Ahornweg,10.4381585,53.2465445,301874635,0,
Adendorfer Straße,10.5003095,53.2907226,672754332,6,19.0
Boltersener Straße,10.5367548,53.2835213,494088099,6,16.0
"Boltersen, Rullstorfer Straße",10.5655161,53.2754359,4346393490,5,16.0
Nutzfelder Weg,10.5301085,53.2861568,324239002,6,16.0
Hauptstraße,10.5054053,53.2911209,1050068557,5,16.0
Sportzentrum,10.4553245,53.2890979,2869209506,0,
Grundschule,10.5095283,53.2926817,476600749,0,
Weinbergsweg Schule,10.4327074,53.2822368,304638989,0,
Meisterstraße,10.5102281,53.2939604,339024845,5,16.0
Jürgenstorfer Straße,10.5973461,53.3233128,489755319,0,
K 2 / Zum Bahnhof,10.528343,53.2892813,30093348,4,16.0
Alte Dorfstraße,10.5397765,53.2891528,1204223255,8,16.0
"Scharnebeck, Echemer Straße",10.5057743,53.297607,567004808,8,19.0
"Lentenau, K28",10.5054742,53.2755473,1086281126,6,19.0
"Reinstorf, Reinstorfer Kreuz",10.5684264,53.220633,5113420637,7,15.0
Im Sande,10.2803467,53.2301573,416969347,17,14.0
Kirche,10.2939288,53.2303584,266917632,12,31.0
Im Wiesengrund,10.3009457,53.2311062,8708546811,9,31.0
Landwehr,10.3957654,53.2839468,3060045192,11,37.0
Hagemannsweg,10.3983505,53.2810195,454631858,11,37.0
Schulzentrum,10.4967743,53.2896025,417443430,0,
Floetstraße,10.4091665,53.1800477,1705557196,14,11.0
Rote Schleuse,10.410347,53.2094935,277399793,9,32.0
"Melbeck, Uelzener Straße",10.4178352,53.1752435,8524206695,9,17.0
Bernhard-Riemann-Straße,10.4054578,53.22347,3037235993,9,48.0
Von-Stauffenberg-Straße,10.4401651,53.282214,244401296,0,
Rauher Weg,10.434875,53.276487,301562193,0,
"Heiligenthal, Ort",10.3359066,53.2202422,558971480,13,34.0
In de Tüünen,10.336901,53.2195772,470937620,11,34.0
Heiligenthaler Straße,10.3021503,53.2287282,503301564,10,31.0
"Melbeck, Danziger Straße",10.3722583,53.1809678,564137024,8,21.0
"Embsen, Siedlung",10.3612379,53.1806562,577366509,8,21.0
Kulturforum Wienebüttel,10.3744107,53.2644052,287098768,11,49.0
"Brietlingen, Schierenweg",10.4343011,53.3141351,577733836,10,18.0
"Brietlingen, Moorweg",10.4397463,53.3174256,382009302,6,18.0
Ritzkamper Weg,10.4574358,53.327569,309229350,8,18.0
Schwarzer Weg,10.428384,53.2715467,346183779,6,27.0
Gut Olm,10.4541438,53.2614926,302310334,13,26.0
Abzweigung Ebensberg,10.4600774,53.2637503,7051227607,5,18.0
Erbstorfer Landstraße,10.4778683,53.2739834,4338084488,2,18.0
Hölderlinstraße,10.4436723,53.2608865,988590957,11,22.0
"Wendewisch, Campingplatz",10.6501668,53.3587971,290823819,0,
"Riecklingen, Abzweigung",10.7099559,53.205882,1049251506,6,9.0
Leestahl 2,10.6997246,53.2079337,317985520,0,
Am Kirchkamp,10.6965007,53.1789467,1854036439,10,9.0
Schule A,10.5369096,53.2254603,121136981,3,
"Embsen, Bahnhofstraße",10.3454169,53.177286,277260345,9,21.0
"Embsen, Querlberg",10.3510466,53.1737042,663386180,11,1.0
