name,x,y,osmid,passengers,cluster
Universitätsallee,10.4052614,53.230091,175237700,2.0,4.0
Bei Mönchsgarten,10.3904939,53.2529278,293938369,6.0,1.0
Hermann-Löns-Straße,10.4357546,53.2611082,298511484,2.0,3.0
Wilhelm-Leuschner-Straße,10.4442936,53.236347,114241120,7.0,8.0
Graf-von-Moltke-Straße,10.4385436,53.2372693,1459109815,9.0,8.0
St.-Stephanus-Platz,10.4347836,53.2385554,414692562,9.0,8.0
Konrad-Adenauer-Straße,10.4319275,53.2377656,7960254627,6.0,10.0
Waldfriedhof,10.429653,53.2361294,275404815,6.0,10.0
Schäferfeld,10.4287246,53.2378491,1872332223,5.0,10.0
Kurt-Schumacher-Straße,10.4269383,53.2401354,279632687,10.0,10.0
Blümchensaal,10.4230445,53.2433336,307769211,4.0,10.0
Theodor-Heuss-Straße,10.4329576,53.2462219,1053737986,5.0,7.0
Venusberg (Johanneum),10.4303141,53.2465477,301861007,5.0,7.0
Ziegelkamp,10.4276158,53.2474105,301860995,9.0,7.0
Am Schützenplatz,10.4236403,53.2487451,201192065,7.0,10.0
Wichernstraße,10.397792,53.2268409,276915521,4.0,4.0
Anna-Vogeley-Heim,10.3984829,53.2251001,1690093376,1.0,4.0
Am Elsenbruch,10.4012942,53.2245326,1690093389,6.0,4.0
Röntgenstraße / Kirche,10.4024801,53.2227054,322053789,2.0,4.0
Röntgenstraße,10.4028648,53.2207693,322051827,4.0,4.0
Planckstraße,10.404717,53.2192047,322053484,3.0,4.0
Reichenbachplatz,10.4106941,53.2531248,333248611,4.0,5.0
Bürgeramt,10.4092892,53.2522431,332606128,6.0,5.0
Markt,10.7418278,53.1870816,314666239,0.0,
Meisterweg,10.4317204,53.2599086,317179812,7.0,3.0
Hansestraße,10.4261391,53.2555935,705465966,8.0,7.0
Henningstraße,10.4233245,53.2525633,296886493,5.0,7.0
Pulverweg (Nord),10.422458,53.2511748,201192013,6.0,7.0
Theodor-Haubach-Straße,10.4422643,53.2341433,274309813,9.0,8.0
Bülows Kamp,10.4459154,53.2314995,114240790,10.0,8.0
Klosterkamp,10.4460096,53.2292609,414685401,9.0,8.0
Hermann-Wagner-Straße,10.4441928,53.2288883,1249144962,6.0,8.0
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,282853219,7.0,10.0
Am Sande,10.4107075,53.2477583,4013236506,8.0,13.0
Oedeme Dorf,10.3769693,53.228942,7173992955,7.0,9.0
Im Kamp,10.3850765,53.2222253,374359791,0.0,
Scharnhorststraße/DJH,10.3971229,53.2300297,276915516,5.0,4.0
Blücherstraße,10.4000814,53.2311691,1658400344,8.0,4.0
Imkerstieg,10.388762,53.2746341,249238920,10.0,1.0
MTV-Platz,10.4049563,53.2353498,268638584,10.0,4.0
Kurpark,10.4043801,53.2384105,111246549,7.0,13.0
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,114242620,7.0,14.0
Munstermannskamp,10.4052689,53.232103,305382797,5.0,4.0
Osterwiese,10.3746107,53.2148267,402986884,3.0,0.0
Klosterweg,10.371994,53.2117385,403012178,4.0,0.0
Ginsterweg,10.3959836,53.2326736,3348587797,3.0,9.0
Am Schwalbenberg,10.4223308,53.2459133,1057013365,9.0,10.0
Wallstraße (Theater),10.4072015,53.245682,262253660,8.0,11.0
Postamt,10.4038332,53.2429593,539018433,5.0,9.0
Hasenburg,10.3940989,53.2255233,297426712,1.0,14.0
Eintracht Sportplatz,10.3854737,53.2211913,389948830,8.0,0.0
Am Bahnhof Rettmer,10.3816755,53.21947,402916911,2.0,0.0
Wiesengrund,10.3746747,53.2134269,403012164,7.0,0.0
Pilgerpfad,10.3783934,53.2099019,2618162533,6.0,0.0
Am Wischfeld,10.3882696,53.2112187,7799257024,1.0,0.0
Hessenweg (Mitte),10.3879839,53.2138366,3267192184,8.0,0.0
Am Bäckfeld,10.3886319,53.2166547,393498311,3.0,0.0
Häcklinger Weg,10.387037,53.2197354,402916874,6.0,0.0
Stadttheater,10.4076949,53.2439859,268415869,8.0,13.0
Sültenweg,10.3929476,53.244192,2907063685,4.0,12.0
Am Grasweg,10.3881566,53.2461189,318640483,4.0,12.0
Jägerstraße,10.3847644,53.2489566,382390327,3.0,12.0
Johanna-Stegen-Straße,10.3874009,53.2494991,268233024,5.0,12.0
Vor dem Neuen Tore,10.3924213,53.2500778,178848802,4.0,1.0
Dörnbergstraße,10.3938125,53.2511306,828077495,3.0,1.0
Witzendorffstraße,10.3923654,53.2565779,308648777,2.0,2.0
Ebelingweg,10.3911893,53.2614652,4827722223,1.0,1.0
Naruto-Straße,10.3852786,53.2693964,414191921,6.0,1.0
Krähornsberg,10.3867792,53.2706226,381911675,8.0,1.0
Teilfeld,10.3895463,53.2794573,414237511,8.0,1.0
Wilhelm-Hänel-Weg,10.4044742,53.2699592,2371152648,6.0,11.0
Am Wildgehege,10.3891011,53.2686373,317133890,2.0,1.0
Laffertstraße,10.3930618,53.255513,1037002221,9.0,2.0
Schomakerstraße,10.3996894,53.2540821,293976961,6.0,5.0
