name,x,y,osmid,passengers,cluster
Abzweigung Bennerstedt,10.4869702,53.3146462,1830066645,1,32.0
Lüneburger Straße,10.5227006,53.2288511,8523611360,6,30.0
"Karze, An den Hauskoppeln",10.6739869,53.314295,4363687998,2,15.0
Universitätsallee,10.4052614,53.230091,175237700,10,40.0
"Artlenburg, Grünstraße",10.4921805,53.3719336,957142825,3,5.0
Bei Mönchsgarten,10.3904939,53.2529278,293938369,5,44.0
Hermann-Löns-Straße,10.4357546,53.2611082,298511484,9,36.0
Wilhelm-Leuschner-Straße,10.4442936,53.236347,114241120,26,37.0
Graf-von-Moltke-Straße,10.4385436,53.2372693,1459109815,9,41.0
St.-Stephanus-Platz,10.4347836,53.2385554,414692562,17,41.0
Konrad-Adenauer-Straße,10.4319275,53.2377656,7960254627,10,41.0
Waldfriedhof,10.429653,53.2361294,275404815,14,48.0
Schäferfeld,10.4287246,53.2378491,1872332223,9,48.0
Kurt-Schumacher-Straße,10.4269383,53.2401354,279632687,17,48.0
Blümchensaal,10.4230445,53.2433336,307769211,16,43.0
Theodor-Heuss-Straße,10.4329576,53.2462219,1053737986,1,42.0
Venusberg (Johanneum),10.4303141,53.2465477,301861007,6,42.0
Ziegelkamp,10.4276158,53.2474105,301860995,16,42.0
Am Schützenplatz,10.4236403,53.2487451,201192065,9,42.0
"Deutsch Evern, Triftstraße",10.4383763,53.2028361,309164430,6,22.0
Becklingen,10.638701,53.1685565,272771855,5,2.0
"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371,311743901,5,4.0
"Thomasburg, Radenbecker Weg",10.6537654,53.2297167,4133634392,5,2.0
Abzweig Dumstorf,10.6967738,53.1893837,313574492,3,2.0
"Köstorf, Abzw. Barskamp",10.7566624,53.2330487,3790432850,3,21.0
Abzweig Radenbeck,10.6206885,53.2012926,1713950571,3,20.0
Mitte / B216,10.6378781,53.1973134,369792808,2,20.0
Breetzer Straße,10.7248594,53.2821702,319989751,1,8.0
Wichernstraße,10.397792,53.2268409,276915521,2,34.0
Anna-Vogeley-Heim,10.3984829,53.2251001,1690093376,6,34.0
Am Elsenbruch,10.4012942,53.2245326,1690093389,9,34.0
Röntgenstraße / Kirche,10.4024801,53.2227054,322053789,5,34.0
Röntgenstraße,10.4028648,53.2207693,322051827,7,34.0
Planckstraße,10.404717,53.2192047,322053484,4,34.0
Neetzebrücke,10.6150702,53.2650616,323130818,6,20.0
Reichenbachplatz,10.4106941,53.2531248,333248611,8,38.0
Bürgeramt,10.4092892,53.2522431,332606128,9,38.0
"Radenbeck, Siedlung",10.6264241,53.2178751,336363945,8,20.0
Markt,10.7418278,53.1870816,314666239,11,6.0
Meisterweg,10.4317204,53.2599086,317179812,11,36.0
Hansestraße,10.4261391,53.2555935,705465966,15,43.0
Henningstraße,10.4233245,53.2525633,296886493,9,36.0
Pulverweg (Nord),10.422458,53.2511748,201192013,9,43.0
Theodor-Haubach-Straße,10.4422643,53.2341433,274309813,13,37.0
Bülows Kamp,10.4459154,53.2314995,114240790,12,25.0
Klosterkamp,10.4460096,53.2292609,414685401,8,37.0
Hermann-Wagner-Straße,10.4441928,53.2288883,1249144962,16,25.0
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,282853219,13,41.0
"Handorf, Grundschule",10.3467072,53.3419322,452997887,10,0.0
Im Kirchfelde,10.3196032,53.2800856,2301671297,8,26.0
"Barum, Am Sportplatz",10.4088761,53.3509372,292157701,9,11.0
Am Sande,10.4107075,53.2477583,4013236506,9,52.0
Oedeme Dorf,10.3769693,53.228942,7173992955,11,29.0
Im Kamp,10.3850765,53.2222253,374359791,5,23.0
Scharnhorststraße/DJH,10.3971229,53.2300297,276915516,6,27.0
