,element_type,osmid,highway,name,network,public_transport,geometry,bench,operator,ref_name,route_ref,shelter,tactile_paving,bicycle_parking,bus,lines,wheelchair,designation,local_ref,source,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,covered,note,ref,departures_board,fixme,removed:ref_name,network:wikidata,network:wikipedia,description,comment,name:note,toilets:wheelchair,check_date:tactile_paving,level,network:short,name:description,line,check_date:bench,amenity,loc_name,railway,name:source,shelter:description,surface,nodes,layer,x,y
0,node,1830066645,bus_stop,Abzweigung Bennerstedt,HVV,platform,POINT (10.4869702 53.3146462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4869702,53.3146462
1,node,8523611360,bus_stop,Lüneburger Straße,HVV,platform,POINT (10.5227006 53.2288511),yes,KVG,"Barendorf, Lüneburger Straße",5300;5361;5362;AST,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5227006,53.2288511
3,node,4363687998,bus_stop,"Karze, An den Hauskoppeln",HVV,platform,POINT (10.6739869 53.314295),yes,VOG,,5104;5111;5152-ASM,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6739869,53.314295
4,node,175237700,bus_stop,Universitätsallee,HVV,platform,POINT (10.4052614 53.230091),,KVG,"Lüneburg, Scharnhorststraße (Ost)",,no,,,yes,5605;,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4052614,53.230091
6,node,957142825,bus_stop,"Artlenburg, Grünstraße",HVV,platform,POINT (10.4921805 53.3719336),yes,,,,yes,,,,,,Grünstr.,Grünstr.,seb1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4921805,53.3719336
7,node,293938369,bus_stop,Bei Mönchsgarten,HVV,platform,POINT (10.3904939 53.2529278),no,KVG,"Lüneburg, Bei Mönchsgarten",5009;ASM,no,no,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3904939,53.2529278
8,node,298511484,bus_stop,Hermann-Löns-Straße,HVV,platform,POINT (10.4357546 53.2611082),,KVG,"Lüneburg, Hermann Löns Straße",,yes,,,yes,5015; 5110; 5901; 5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4357546,53.2611082
10,node,114241120,bus_stop,Wilhelm-Leuschner-Straße,HVV,platform,POINT (10.4442936 53.236347),yes,KVG,"Lüneburg, Wilhelm-Leuschner-Straße",,yes,no,,yes,5011;5014,limited,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4442936,53.236347
11,node,1459109815,bus_stop,Graf-von-Moltke-Straße,HVV,platform,POINT (10.4385436 53.2372693),yes,KVG,"Lüneburg, Graf-von-Moltke-Straße",,yes,yes,,yes,5011;5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4385436,53.2372693
12,node,414692562,bus_stop,St.-Stephanus-Platz,HVV,platform,POINT (10.4347836 53.2385554),yes,KVG,"Lüneburg, St.-Stephanus-Platz",,yes,yes,,yes,5011;5014;5300;5361;5362:5405;5700;5920;5120,yes,,,,yes,20141012,no,"Lüneburg, St.-Stephanus-Platz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4347836,53.2385554
13,node,7960254627,bus_stop,Konrad-Adenauer-Straße,HVV,platform,POINT (10.4319275 53.2377656),yes,KVG,"Lüneburg, Konrad-Adenauer-Straße",,no,yes,,yes,5011;5601,,,,,yes,20141012,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4319275,53.2377656
14,node,275404815,bus_stop,Waldfriedhof,HVV,platform,POINT (10.429653 53.2361294),yes,KVG,"Lüneburg, Waldfriedhof",,yes,no,,yes,5011,yes,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.429653,53.2361294
15,node,1872332223,bus_stop,Schäferfeld,HVV,platform,POINT (10.4287246 53.2378491),no,KVG,"Lüneburg, Schäferfeld",,no,no,,yes,5011,,,,,yes,20141012,no,"Lüneburg, Schäferfeld",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4287246,53.2378491
16,node,279632687,bus_stop,Kurt-Schumacher-Straße,HVV,platform,POINT (10.4269383 53.2401354),no,KVG,"Lüneburg, Kurt-Schuhmacher-Straße",,no,no,,yes,5011,,,,,yes,20141012,no,"Lüneburg, Kurt-Schumacher-Straße",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4269383,53.2401354
17,node,307769211,bus_stop,Blümchensaal,HVV,platform,POINT (10.4230445 53.2433336),no,KVG,"Lüneburg, Blümchensaal",,no,no,,,5011,,,,,no,20141012,no,"Lüneburg, Blümchensaal",,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4230445,53.2433336
18,node,1053737986,bus_stop,Theodor-Heuss-Straße,HVV,platform,POINT (10.4329576 53.2462219),yes,KVG,"Lüneburg, Theodor-Heuss-Straße",,yes,no,,yes,5010; 5014,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4329576,53.2462219
19,node,301861007,bus_stop,Venusberg (Johanneum),HVV,platform,POINT (10.4303141 53.2465477),yes,KVG,"Lüneburg, Venusberg (Johanneum)",,yes,no,,yes,5014; 5361; 5362; 5405; 5920; 5620; 5700,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4303141,53.2465477
20,node,301860995,bus_stop,Ziegelkamp,HVV,platform,POINT (10.4276158 53.2474105),yes,KVG,"Lüneburg, Ziegelkamp",,yes,yes,,yes,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4276158,53.2474105
21,node,201192065,bus_stop,Am Schützenplatz,HVV,platform,POINT (10.4236403 53.2487451),no,KVG,"Lüneburg, Am Schützenplatz",,no,no,,yes,5007;5010;5011;5012;5014;5015;5100;5110;5300;5361;5901;5918;5920,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4236403,53.2487451
22,node,309164430,bus_stop,"Deutsch Evern, Triftstraße",,platform,POINT (10.4383763 53.2028361),,,,5020;5606;ASM,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4383763,53.2028361
23,node,272771855,bus_stop,Becklingen,,platform,POINT (10.638701 53.1685565),,,,5303,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.638701,53.1685565
24,node,311743901,bus_stop,"Radbruch, Schäfer-Ast-Straße",,platform,POINT (10.2858188 53.3115371),,,,5403,yes,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2858188,53.3115371
