name,passengers
Abzweigung Bennerstedt,3
Lüneburger Straße,2
"Karze, An den Hauskoppeln",4
Universitätsallee,11
"Artlenburg, Grünstraße",0
Bei Mönchsgarten,3
Hermann-Löns-Straße,0
Wilhelm-Leuschner-Straße,12
Graf-von-Moltke-Straße,15
St.-Stephanus-Platz,9
Konrad-Adenauer-Straße,20
Waldfriedhof,16
Schäferfeld,0
Kurt-Schumacher-Straße,15
Blümchensaal,14
Theodor-Heuss-Straße,10
Venusberg (Johanneum),8
Ziegelkamp,0
Am Schützenplatz,10
"Deutsch Evern, Triftstraße",0
Becklingen,8
"Radbruch, Schäfer-Ast-Straße",4
"Thomasburg, Radenbecker Weg",0
Abzweig Dumstorf,7
"Köstorf, Abzw. Barskamp",3
Abzweig Radenbeck,5
Mitte / B216,3
Breetzer Straße,4
Wichernstraße,15
Anna-Vogeley-Heim,3
Am Elsenbruch,6
Röntgenstraße / Kirche,9
Röntgenstraße,5
Planckstraße,0
Neetzebrücke,4
Reichenbachplatz,0
Bürgeramt,14
"Radenbeck, Siedlung",10
Markt,11
Meisterweg,12
Hansestraße,0
Henningstraße,12
Pulverweg (Nord),11
Theodor-Haubach-Straße,17
Bülows Kamp,17
Klosterkamp,0
Hermann-Wagner-Straße,19
Hinrich-Wilhelm-Kopf-Straße,22
"Handorf, Grundschule",0
Im Kirchfelde,0
"Barum, Am Sportplatz",12
Am Sande,12
Oedeme Dorf,0
Im Kamp,13
Scharnhorststraße/DJH,11
Blücherstraße,6
Imkerstieg,0
Neue Straße,0
Danziger Weg,1
MTV-Platz,12
Kurpark,12
Uelzener Straße (Kurzentrum),11
Munstermannskamp,0
Osterwiese,6
Klosterweg,8
Ginsterweg,9
Am Schwalbenberg,8
Wallstraße (Theater),29
Postamt,14
Hasenburg,10
Eintracht Sportplatz,0
Am Bahnhof Rettmer,9
Wiesengrund,9
Pilgerpfad,0
Am Wischfeld,12
Hessenweg (Mitte),12
Am Bäckfeld,12
Häcklinger Weg,13
B 4 Parkplatz,13
Stadttheater,0
Sültenweg,0
Am Grasweg,7
Jägerstraße,0
Johanna-Stegen-Straße,9
Vor dem Neuen Tore,5
Dörnbergstraße,10
Witzendorffstraße,5
Ebelingweg,14
Naruto-Straße,8
Krähornsberg,10
Teilfeld,10
Wilhelm-Hänel-Weg,11
Am Wildgehege,0
Laffertstraße,9
Schomakerstraße,0
Am Springintgut,12
Am Graalwall,23
Neue Sülze,17
Lambertiplatz,14
Rathaus,15
Kefersteinstraße (UNI),11
Gut Willerding,5
Bahnhof,0
Von-Kleist-Weg,0
"Deutsch Evern, Fritz-Reuter-Straße",8
"Deutsch Evern, Friedhof",0
Deutsch Everner Weg,5
"Deutsch Evern, An der Ilmenau",7
"Deutsch Evern, Wandelfeld",8
"Deutsch Evern, Finkenstieg",10
"Deutsch Evern, Petersberg",6
"Deutsch Evern, Am Tiergarten",14
"Deutsch Evern, Tiergartenstraße",0
"Deutsch Evern, Birkenweg",0
Schützenstraße,0
Im Alten Dorfe,0
Am Kreideberg,6
Stöteroggestraße (Süd),14
Boizenburger Straße,0
Thorner Straße (West),11
Thorner Platz,12
Salzwedeler Straße,0
Elbinger Straße,11
Dessauer Straße,11
Magdeburger Straße,13
Stöteroggestraße (Nord),0
Brücke,17
Hasenburger Weg,17
Wallstraße,0
Elba,1
Landwehrplatz,9
Bardowicker Straße,11
Lübbelau,5
Finkenweg,14
"Lemgrabe, Am Hasenberg",8
Lilienthalstraße,7
Von-Stern-Straße,5
Eisenwerk,5
Gebrüder-Heyn-Straße,10
Hagen-Schule,6
Wacholderweg,7
Ahornweg,0
Adendorfer Straße,6
Boltersener Straße,6
"Boltersen, Rullstorfer Straße",5
Nutzfelder Weg,6
Hauptstraße,5
Sportzentrum,0
Grundschule,0
Weinbergsweg Schule,0
Meisterstraße,5
Jürgenstorfer Straße,0
K 2 / Zum Bahnhof,4
Alte Dorfstraße,8
"Scharnebeck, Echemer Straße",8
"Lentenau, K28",6
"Reinstorf, Reinstorfer Kreuz",7
Im Sande,17
Kirche,12
Im Wiesengrund,9
Landwehr,11
Hagemannsweg,11
Schulzentrum,0
Floetstraße,14
Rote Schleuse,9
"Melbeck, Uelzener Straße",9
Bernhard-Riemann-Straße,9
Von-Stauffenberg-Straße,0
Rauher Weg,0
"Heiligenthal, Ort",13
In de Tüünen,11
Heiligenthaler Straße,10
"Melbeck, Danziger Straße",8
"Embsen, Siedlung",8
Kulturforum Wienebüttel,11
"Brietlingen, Schierenweg",10
"Brietlingen, Moorweg",6
Ritzkamper Weg,8
Schwarzer Weg,6
Gut Olm,13
Abzweigung Ebensberg,5
Erbstorfer Landstraße,2
Hölderlinstraße,11
"Wendewisch, Campingplatz",0
"Riecklingen, Abzweigung",6
Leestahl 2,0
Am Kirchkamp,10
Schule A,3
"Embsen, Bahnhofstraße",9
"Embsen, Querlberg",11
"Horndorf, Zur Doven Elbe",0
"Reinstorf, Hauptstraße",4
Forsthaus,0
"Barum, Abzweig Horburg",16
"Barum, Am See",17
"Oerzen, Fliederstraße",0
Hohe Luft,9
"Bavendorf, Im Dorfe",9
"Reinstorf, Am Vitusbach",9
Neumühlener Weg,7
Möhlenkamp,6
Auf der Hausstelle,0
Feuerwehr,4
Ostlandring,0
Freibad,7
Kreuzkamp,0
Robert-Koch-Straße,0
Friedhof,0
Heinrich Heine Siedlung,0
An der Bünte,1
Heinrich-Hille-Straße,0
Weinbergsweg,0
"Radenbeck, Linnenkamp",11
"Radenbeck, Dorfstraße",0
Siedlung,7
"Brietlingen, Am Sportplatz",0
Goebelstraße,3
"Echem, Schulstraße",11
Grüner Weg,1
Lindenweg,0
Otto-Brenner-Straße (Kehre),9
"Brietlingen, Stettiner Ring",0
Sternkamp,4
Kirchweg,1
Bunsenstraße,0
Bachstraße,7
Rosenkamp,13
Schmiedestraße,15
Rehrweg,6
"Wittorf, Wiesenstraße",17
Volgershall/UNI,7
Städtisches Klinikum,8
"Lüdersburg, Kirchtwiete",10
Abzweigung Jürgenstorf,9
Melbeck Grundschule,0
Gifkendorf,5
B 209,11
Gerhart-Hauptmann-Straße,9
Händelstraße,11
Alter Postweg,13
Lessingstraße,15
Am Fuchsberg,0
Im Westerfelde,0
Behördenzentrum (Ost),4
Psychiatrische Klinik,8
Am Bruch,0
Bei der Pferdehütte,2
Alec-Moore-Straße,0
Am Bargenturm,12
Heidkoppelweg,0
Memeler Straße,8
William-Watt-Straße,6
Allensteiner Straße,11
"Erbstorf, Wendeplatz",0
Jüttkenmoor,9
Am Ziegeleiteich,12
Ostlandstraße (Schule),9
Schnellenberger Weg,0
Ostlandstraße Spielplatz,17
Am Lerchenberg,10
Am Schwarzen Berg,12
Steinweg,1
Im Gutspark,0
Virchowstraße,0
Teichaue,0
Moorchaussee,0
Kastanienallee,0
Katzenweg,0
Friedrich-Ludwig-Jahn-Straße,0
Rotes Tor,13
Goethestraße,17
Hagen Wendeplatz,0
Hopfengarten,21
Wielandstraße,14
Hans-Steffens-Weg,7
Gaußstraße,10
Heinrich-Böll-Straße,3
Carl-von-Ossietzky-Straße,0
Otto-Brenner-Straße,6
Flugplatz,0
Walter-Bötcher-Straße,0
Stadtkoppel,7
Kurt-Höbold-Straße,7
Richard-Brauer-Straße,5
Elso-Klöver-Straße,0
Gellersstraße,10
