name,x,y,passengers,cluster
Abzweigung Bennerstedt,10.4869702,53.3146462,8,26.0
Lüneburger Straße,10.5227006,53.2288511,6,11.0
"Karze, An den Hauskoppeln",10.6739869,53.314295,3,2.0
Universitätsallee,10.4052614,53.230091,11,37.0
"Artlenburg, Grünstraße",10.4921805,53.3719336,5,14.0
Bei Mönchsgarten,10.3904939,53.2529278,6,31.0
Hermann-Löns-Straße,10.4357546,53.2611082,0,
Wilhelm-Leuschner-Straße,10.4442936,53.236347,6,33.0
Graf-von-Moltke-Straße,10.4385436,53.2372693,8,33.0
St.-Stephanus-Platz,10.4347836,53.2385554,10,33.0
Konrad-Adenauer-Straße,10.4319275,53.2377656,14,44.0
Waldfriedhof,10.429653,53.2361294,13,44.0
Schäferfeld,10.4287246,53.2378491,6,44.0
Kurt-Schumacher-Straße,10.4269383,53.2401354,8,46.0
Blümchensaal,10.4230445,53.2433336,20,46.0
Theodor-Heuss-Straße,10.4329576,53.2462219,4,44.0
Venusberg (Johanneum),10.4303141,53.2465477,14,44.0
Ziegelkamp,10.4276158,53.2474105,6,46.0
Am Schützenplatz,10.4236403,53.2487451,7,46.0
"Deutsch Evern, Triftstraße",10.4383763,53.2028361,5,19.0
Becklingen,10.638701,53.1685565,5,1.0
"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371,0,
"Thomasburg, Radenbecker Weg",10.6537654,53.2297167,6,1.0
Abzweig Dumstorf,10.6967738,53.1893837,5,1.0
"Köstorf, Abzw. Barskamp",10.7566624,53.2330487,3,2.0
Abzweig Radenbeck,10.6206885,53.2012926,3,3.0
Mitte / B216,10.6378781,53.1973134,3,3.0
Breetzer Straße,10.7248594,53.2821702,3,2.0
Wichernstraße,10.397792,53.2268409,6,32.0
Anna-Vogeley-Heim,10.3984829,53.2251001,8,32.0
Am Elsenbruch,10.4012942,53.2245326,9,32.0
Röntgenstraße / Kirche,10.4024801,53.2227054,11,32.0
Röntgenstraße,10.4028648,53.2207693,5,32.0
Planckstraße,10.404717,53.2192047,3,32.0
Neetzebrücke,10.6150702,53.2650616,5,2.0
Reichenbachplatz,10.4106941,53.2531248,7,43.0
Bürgeramt,10.4092892,53.2522431,0,
"Radenbeck, Siedlung",10.6264241,53.2178751,4,3.0
Markt,10.7418278,53.1870816,7,3.0
Meisterweg,10.4317204,53.2599086,11,48.0
Hansestraße,10.4261391,53.2555935,13,48.0
Henningstraße,10.4233245,53.2525633,9,45.0
Pulverweg (Nord),10.422458,53.2511748,8,45.0
Theodor-Haubach-Straße,10.4422643,53.2341433,13,33.0
Bülows Kamp,10.4459154,53.2314995,10,27.0
Klosterkamp,10.4460096,53.2292609,11,33.0
Hermann-Wagner-Straße,10.4441928,53.2288883,16,27.0
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,11,44.0
"Handorf, Grundschule",10.3467072,53.3419322,8,21.0
Im Kirchfelde,10.3196032,53.2800856,10,23.0
"Barum, Am Sportplatz",10.4088761,53.3509372,10,18.0
Am Sande,10.4107075,53.2477583,15,41.0
Oedeme Dorf,10.3769693,53.228942,8,28.0
Im Kamp,10.3850765,53.2222253,5,28.0
Scharnhorststraße/DJH,10.3971229,53.2300297,5,28.0
Blücherstraße,10.4000814,53.2311691,9,28.0
Imkerstieg,10.388762,53.2746341,6,43.0
Neue Straße,10.431328,53.274525,2,51.0
Danziger Weg,10.4383568,53.2816633,2,51.0
MTV-Platz,10.4049563,53.2353498,13,37.0
Kurpark,10.4043801,53.2384105,12,42.0
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,14,38.0
Munstermannskamp,10.4052689,53.232103,10,37.0
Osterwiese,10.3746107,53.2148267,5,16.0
Klosterweg,10.371994,53.2117385,8,16.0
Ginsterweg,10.3959836,53.2326736,10,38.0
Am Schwalbenberg,10.4223308,53.2459133,15,46.0
Wallstraße (Theater),10.4072015,53.245682,13,39.0
Postamt,10.4038332,53.2429593,11,38.0
Hasenburg,10.3940989,53.2255233,0,
Eintracht Sportplatz,10.3854737,53.2211913,4,28.0
Am Bahnhof Rettmer,10.3816755,53.21947,14,16.0
Wiesengrund,10.3746747,53.2134269,10,16.0
Pilgerpfad,10.3783934,53.2099019,13,28.0
Am Wischfeld,10.3882696,53.2112187,12,24.0
Hessenweg (Mitte),10.3879839,53.2138366,7,24.0
Am Bäckfeld,10.3886319,53.2166547,12,24.0
Häcklinger Weg,10.387037,53.2197354,10,24.0
B 4 Parkplatz,10.345182,53.3345096,4,21.0
Stadttheater,10.4076949,53.2439859,8,41.0
Sültenweg,10.3929476,53.244192,0,
Am Grasweg,10.3881566,53.2461189,10,39.0
Jägerstraße,10.3847644,53.2489566,5,30.0
Johanna-Stegen-Straße,10.3874009,53.2494991,9,31.0
Vor dem Neuen Tore,10.3924213,53.2500778,8,31.0
Dörnbergstraße,10.3938125,53.2511306,9,31.0
Witzendorffstraße,10.3923654,53.2565779,15,47.0
Ebelingweg,10.3911893,53.2614652,10,47.0
Naruto-Straße,10.3852786,53.2693964,9,43.0
Krähornsberg,10.3867792,53.2706226,12,43.0
Teilfeld,10.3895463,53.2794573,11,29.0
Wilhelm-Hänel-Weg,10.4044742,53.2699592,6,43.0
Am Wildgehege,10.3891011,53.2686373,9,43.0
Laffertstraße,10.3930618,53.255513,10,36.0
Schomakerstraße,10.3996894,53.2540821,5,50.0
Am Springintgut,10.4002528,53.2521255,14,50.0
Am Graalwall,10.4027651,53.2509053,15,51.0
Neue Sülze,10.4040892,53.2478008,16,51.0
Lambertiplatz,10.4031072,53.2456516,14,39.0
Rathaus,10.4068106,53.2506572,19,49.0
Kefersteinstraße (UNI),10.4102138,53.2406193,10,42.0
Gut Willerding,10.4566119,53.225116,7,27.0
Bahnhof,10.4336107,53.2000625,7,19.0
Von-Kleist-Weg,10.4311623,53.1971633,4,19.0
"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183,4,19.0
"Deutsch Evern, Friedhof",10.4232358,53.1924397,8,19.0
