,element_type,osmid,x,y,geometry,cluster,passengers,name
0,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),4,2,Universitätsallee
1,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),6,6,Bei Mönchsgarten
2,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),2,2,Hermann-Löns-Straße
3,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),14,7,Wilhelm-Leuschner-Straße
4,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),14,9,Graf-von-Moltke-Straße
5,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),12,9,St.-Stephanus-Platz
6,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),13,6,Konrad-Adenauer-Straße
7,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),13,6,Waldfriedhof
8,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),13,5,Schäferfeld
9,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),13,10,Kurt-Schumacher-Straße
10,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),12,4,Blümchensaal
11,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),12,5,Theodor-Heuss-Straße
12,node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),12,5,Venusberg (Johanneum)
13,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),12,9,Ziegelkamp
14,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),11,7,Am Schützenplatz
15,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,4,Wichernstraße
16,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),4,1,Anna-Vogeley-Heim
17,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),4,6,Am Elsenbruch
18,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),4,2,Röntgenstraße / Kirche
19,node,322051838,10.4028648,53.2207693,POINT (10.4028648 53.2207693),4,4,Röntgenstraße
20,node,322053787,10.404717,53.2192047,POINT (10.404717 53.2192047),4,3,Planckstraße
21,node,332563449,10.4106941,53.2531248,POINT (10.4106941 53.2531248),11,4,Reichenbachplatz
22,node,333235522,10.4092892,53.2522431,POINT (10.4092892 53.2522431),9,6,Bürgeramt
23,node,415971821,10.40891,53.25078,POINT (10.40891 53.25078),,0,Markt
24,node,349269969,10.4317204,53.2599086,POINT (10.4317204 53.2599086),2,7,Meisterweg
25,node,349269973,10.4261391,53.2555935,POINT (10.4261391 53.2555935),2,8,Hansestraße
26,node,349269976,10.4233245,53.2525633,POINT (10.4233245 53.2525633),11,5,Henningstraße
27,node,349269979,10.422458,53.2511748,POINT (10.422458 53.2511748),11,6,Pulverweg (Nord)
28,node,349277062,10.4422643,53.2341433,POINT (10.4422643 53.2341433),14,9,Theodor-Haubach-Straße
29,node,349277070,10.4459154,53.2314995,POINT (10.4459154 53.2314995),14,10,Bülows Kamp
30,node,349277075,10.4460096,53.2292609,POINT (10.4460096 53.2292609),14,9,Klosterkamp
31,node,349277080,10.4441928,53.2288883,POINT (10.4441928 53.2288883),14,6,Hermann-Wagner-Straße
32,node,349277089,10.4337268,53.2393598,POINT (10.4337268 53.2393598),12,7,Hinrich-Wilhelm-Kopf-Straße
