,element_type,osmid,x,y,geometry,passengers,cluster,name
0,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),2,0,Universitätsallee
1,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),6,13,Bei Mönchsgarten
2,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),2,11,Hermann-Löns-Straße
3,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),7,10,Wilhelm-Leuschner-Straße
4,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),9,10,Graf-von-Moltke-Straße
5,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),9,10,St.-Stephanus-Platz
6,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),6,7,Konrad-Adenauer-Straße
7,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),6,7,Waldfriedhof
8,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),5,7,Schäferfeld
9,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),10,7,Kurt-Schumacher-Straße
10,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),4,7,Blümchensaal
11,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),5,4,Theodor-Heuss-Straße
12,node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),5,10,Venusberg (Johanneum)
13,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),9,7,Ziegelkamp
14,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),7,4,Am Schützenplatz
15,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,6,Wichernstraße
16,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),1,6,Anna-Vogeley-Heim
17,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),6,6,Am Elsenbruch
18,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),2,5,Röntgenstraße / Kirche
19,node,322051838,10.4028648,53.2207693,POINT (10.4028648 53.2207693),4,5,Röntgenstraße
20,node,322053787,10.404717,53.2192047,POINT (10.404717 53.2192047),3,5,Planckstraße
21,node,332563449,10.4106941,53.2531248,POINT (10.4106941 53.2531248),4,9,Reichenbachplatz
22,node,333235522,10.4092892,53.2522431,POINT (10.4092892 53.2522431),6,9,Bürgeramt
23,node,415971821,10.40891,53.25078,POINT (10.40891 53.25078),0,,Markt
24,node,349269969,10.4317204,53.2599086,POINT (10.4317204 53.2599086),7,11,Meisterweg
25,node,349269973,10.4261391,53.2555935,POINT (10.4261391 53.2555935),8,4,Hansestraße
26,node,349269976,10.4233245,53.2525633,POINT (10.4233245 53.2525633),5,4,Henningstraße
27,node,349269979,10.422458,53.2511748,POINT (10.422458 53.2511748),6,4,Pulverweg (Nord)
28,node,349277062,10.4422643,53.2341433,POINT (10.4422643 53.2341433),9,10,Theodor-Haubach-Straße
29,node,349277070,10.4459154,53.2314995,POINT (10.4459154 53.2314995),10,11,Bülows Kamp
30,node,349277075,10.4460096,53.2292609,POINT (10.4460096 53.2292609),9,10,Klosterkamp
31,node,349277080,10.4441928,53.2288883,POINT (10.4441928 53.2288883),6,11,Hermann-Wagner-Straße
32,node,349277089,10.4337268,53.2393598,POINT (10.4337268 53.2393598),7,11,Hinrich-Wilhelm-Kopf-Straße
33,node,364332228,10.4107075,53.2477583,POINT (10.4107075 53.2477583),8,2,Am Sande
34,node,369962274,10.3769693,53.228942,POINT (10.3769693 53.228942),7,1,Oedeme Dorf
35,node,369974664,10.3850765,53.2222253,POINT (10.3850765 53.2222253),0,,Im Kamp
36,node,370660701,10.3971229,53.2300297,POINT (10.3971229 53.2300297),5,0,Scharnhorststraße/DJH
37,node,370660953,10.4000814,53.2311691,POINT (10.4000814 53.2311691),8,5,Blücherstraße
38,node,386915979,10.388762,53.2746341,POINT (10.388762 53.2746341),10,14,Imkerstieg
39,node,387487106,10.4049563,53.2353498,POINT (10.4049563 53.2353498),10,5,MTV-Platz
40,node,387487107,10.4043801,53.2384105,POINT (10.4043801 53.2384105),7,9,Kurpark
41,node,387487109,10.4044333,53.2404345,POINT (10.4044333 53.2404345),7,9,Uelzener Straße (Kurzentrum)
42,node,389040610,10.4052689,53.232103,POINT (10.4052689 53.232103),5,0,Munstermannskamp
43,node,403012157,10.3746107,53.2148267,POINT (10.3746107 53.2148267),3,0,Osterwiese
44,node,403012162,10.371994,53.2117385,POINT (10.371994 53.2117385),4,0,Klosterweg
45,node,409745030,10.3959836,53.2326736,POINT (10.3959836 53.2326736),3,2,Ginsterweg
46,node,410742086,10.4223308,53.2459133,POINT (10.4223308 53.2459133),9,7,Am Schwalbenberg
47,node,410750968,10.4072015,53.245682,POINT (10.4072015 53.245682),8,2,Wallstraße (Theater)
48,node,410750969,10.4038332,53.2429593,POINT (10.4038332 53.2429593),5,2,Postamt
49,node,410751815,10.3940989,53.2255233,POINT (10.3940989 53.2255233),1,0,Hasenburg
