element_type,osmid,name,x,y
node,112147966,Abzweigung Bennerstedt,10.4869702,53.3146462
node,185936288,Lüneburger Straße,10.5227006,53.2288511
node,260372699,"Karze, An den Hauskoppeln",10.6739869,53.314295
node,270544778,Universitätsallee,10.4052614,53.230091
node,275961621,"Artlenburg, Grünstraße",10.4921805,53.3719336
node,282930003,Bitter,11.0357666,53.1693992
node,282931642,Zeetze I,10.9803664,53.2322526
node,282931690,Stapel II,10.9585176,53.25384
node,282934765,Rosien I,10.9660569,53.298371
node,283199500,Raffatz,11.1077411,53.1535816
node,283199502,Strachau,11.10147,53.1504207
node,283199504,"Laake, Abzweig",11.0756096,53.1557855
node,293938387,Bei Mönchsgarten,10.3904939,53.2529278
node,298512342,Hermann-Löns-Straße,10.4357546,53.2611082
node,304485121,Wilhelm-Leuschner-Straße,10.4442936,53.236347
node,304485122,Graf-von-Moltke-Straße,10.4385436,53.2372693
node,304485123,St.-Stephanus-Platz,10.4347836,53.2385554
node,304485135,Konrad-Adenauer-Straße,10.4319275,53.2377656
node,304485136,Waldfriedhof,10.429653,53.2361294
node,304485137,Schäferfeld,10.4287246,53.2378491
node,304485138,Kurt-Schumacher-Straße,10.4269383,53.2401354
node,304485140,Blümchensaal,10.4230445,53.2433336
node,304911409,Theodor-Heuss-Straße,10.4329576,53.2462219
node,304911410,Venusberg (Johanneum),10.4303141,53.2465477
node,304911411,Ziegelkamp,10.4276158,53.2474105
node,304911412,Am Schützenplatz,10.4236403,53.2487451
node,309164443,"Deutsch Evern, Triftstraße",10.4383763,53.2028361
node,310532861,Becklingen,10.638701,53.1685565
node,311743947,"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371
node,314648123,Seedorf Abzweigung,10.7112473,53.1647727
node,314650335,"Ahndorf, Am Rundling",10.7374499,53.1590307
node,316261461,"Thomasburg, Radenbecker Weg",10.6537654,53.2297167
node,317528416,Abzweig Dumstorf,10.6967738,53.1893837
node,317528444,"Köstorf, Abzw. Barskamp",10.7566624,53.2330487
node,318183420,Abzweig Radenbeck,10.6206885,53.2012926
node,318189775,Mitte / B216,10.6378781,53.1973134
node,319989751,Breetzer Straße,10.7248594,53.2821702
node,322048072,Wichernstraße,10.397792,53.2268409
node,322048074,Anna-Vogeley-Heim,10.3984829,53.2251001
node,322051798,Am Elsenbruch,10.4012942,53.2245326
node,322051837,Röntgenstraße / Kirche,10.4024801,53.2227054
node,322051838,Röntgenstraße,10.4028648,53.2207693
node,322053787,Planckstraße,10.404717,53.2192047
node,323130841,Neetzebrücke,10.6150702,53.2650616
node,332563449,Reichenbachplatz,10.4106941,53.2531248
node,333235522,Bürgeramt,10.4092892,53.2522431
node,339175182,"Radenbeck, Siedlung",10.6264241,53.2178751
node,346604672,Markt,10.7418278,53.1870816
node,349269969,Meisterweg,10.4317204,53.2599086
node,349269973,Hansestraße,10.4261391,53.2555935
node,349269976,Henningstraße,10.4233245,53.2525633
node,349269979,Pulverweg (Nord),10.422458,53.2511748
node,349277062,Theodor-Haubach-Straße,10.4422643,53.2341433
node,349277070,Bülows Kamp,10.4459154,53.2314995
node,349277075,Klosterkamp,10.4460096,53.2292609
node,349277080,Hermann-Wagner-Straße,10.4441928,53.2288883
node,349277089,Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598
node,353234737,"Handorf, Grundschule",10.3467072,53.3419322
node,361052110,Im Kirchfelde,10.3196032,53.2800856
node,362121441,"Barum, Am Sportplatz",10.4088761,53.3509372
node,364332228,Am Sande,10.4107075,53.2477583
node,364371984,,10.8452247,53.1506394
node,369962274,Oedeme Dorf,10.3769693,53.228942
node,369974664,Im Kamp,10.3850765,53.2222253
node,370660701,Scharnhorststraße/DJH,10.3971229,53.2300297
node,370660953,Blücherstraße,10.4000814,53.2311691
node,375912970,Neuhaus OT Carrenzien,10.9345933,53.2786657
node,386915979,Imkerstieg,10.388762,53.2746341
node,387439258,Neue Straße,10.431328,53.274525
node,387439282,Danziger Weg,10.4383568,53.2816633
node,387487106,MTV-Platz,10.4049563,53.2353498
node,387487107,Kurpark,10.4043801,53.2384105
node,387487109,Uelzener Straße (Kurzentrum),10.4044333,53.2404345
node,389040610,Munstermannskamp,10.4052689,53.232103
node,403012157,Osterwiese,10.3746107,53.2148267
node,403012162,Klosterweg,10.371994,53.2117385
node,409745030,Ginsterweg,10.3959836,53.2326736
node,410742086,Am Schwalbenberg,10.4223308,53.2459133
node,410750968,Wallstraße (Theater),10.4072015,53.245682
node,410750969,Postamt,10.4038332,53.2429593
node,410751815,Hasenburg,10.3940989,53.2255233
node,410751820,Eintracht Sportplatz,10.3854737,53.2211913
node,411082313,Am Bahnhof Rettmer,10.3816755,53.21947
node,411082314,Wiesengrund,10.3746747,53.2134269
node,411085018,Pilgerpfad,10.3783934,53.2099019
node,411100376,Am Wischfeld,10.3882696,53.2112187
node,411100377,Hessenweg (Mitte),10.3879839,53.2138366
node,411100378,Am Bäckfeld,10.3886319,53.2166547
node,411100381,Häcklinger Weg,10.387037,53.2197354
node,413891247,B 4 Parkplatz,10.345182,53.3345096
node,414134112,Stadttheater,10.4076949,53.2439859
node,414134154,Sültenweg,10.3929476,53.244192
node,414137468,Am Grasweg,10.3881566,53.2461189
node,414154230,Jägerstraße,10.3847644,53.2489566
node,414160019,Johanna-Stegen-Straße,10.3874009,53.2494991
node,414160021,Vor dem Neuen Tore,10.3924213,53.2500778
node,414165032,Dörnbergstraße,10.3938125,53.2511306
node,414165037,Witzendorffstraße,10.3923654,53.2565779
node,414167814,Ebelingweg,10.3911893,53.2614652
node,414191748,Naruto-Straße,10.3852786,53.2693964
node,414191934,Krähornsberg,10.3867792,53.2706226
node,414237514,Teilfeld,10.3895463,53.2794573
node,414576607,Wilhelm-Hänel-Weg,10.4044742,53.2699592
node,415596176,Am Wildgehege,10.3891011,53.2686373
node,415596178,Laffertstraße,10.3930618,53.255513
node,415596179,Schomakerstraße,10.3996894,53.2540821
node,415596180,Am Springintgut,10.4002528,53.2521255
node,415596181,Am Graalwall,10.4027651,53.2509053
node,415596182,Neue Sülze,10.4040892,53.2478008
node,415596183,Lambertiplatz,10.4031072,53.2456516
node,415971822,Rathaus,10.4068106,53.2506572
node,417024690,Kefersteinstraße (UNI),10.4102138,53.2406193
node,420486138,Gut Willerding,10.4566119,53.225116
node,420486140,Bahnhof,10.4336107,53.2000625
node,420486142,Von-Kleist-Weg,10.4311623,53.1971633
node,420486144,"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183
node,420486146,"Deutsch Evern, Friedhof",10.4232358,53.1924397
node,420486148,Deutsch Everner Weg,10.4159088,53.1860963
node,420486151,"Deutsch Evern, An der Ilmenau",10.4196648,53.1957057
node,420486153,"Deutsch Evern, Wandelfeld",10.4201711,53.1978557
node,420486155,"Deutsch Evern, Finkenstieg",10.4204929,53.2018114
node,420486157,"Deutsch Evern, Petersberg",10.4170104,53.2056615
node,420486159,"Deutsch Evern, Am Tiergarten",10.4186211,53.2073704
node,420486161,"Deutsch Evern, Tiergartenstraße",10.4293826,53.2061751
node,420486164,"Deutsch Evern, Birkenweg",10.4432816,53.2042662
node,420486166,Schützenstraße,10.4452134,53.2035664
node,428293412,Im Alten Dorfe,10.2968669,53.2083215
node,430086361,Am Kreideberg,10.4042363,53.255164
node,430086363,Stöteroggestraße (Süd),10.4020549,53.2556211
node,430086365,Boizenburger Straße,10.3989629,53.2574691
node,430086366,Thorner Straße (West),10.3943921,53.2585943
node,430086367,Thorner Platz,10.3997927,53.2595982
node,430086368,Salzwedeler Straße,10.4032549,53.2606612
node,430086370,Elbinger Straße,10.4028514,53.2627146
node,430086371,Dessauer Straße,10.401462,53.2641491
node,430086372,Magdeburger Straße,10.3993732,53.266558
node,430086374,Stöteroggestraße (Nord),10.3993537,53.2644566
node,443503553,Brücke,10.3810417,53.331609
node,444017996,Hasenburger Weg,10.3832526,53.2287752
node,454230097,Mühle,10.7656974,53.1696799
node,455557154,"Seedorf bei Boitze, Ort",10.717425,53.164422
node,455975995,Wallstraße,10.3864893,53.3009499
node,455998982,Elba,10.4271323,53.2961666
node,461590810,Landwehrplatz,10.3574147,53.2479717
node,464776605,Bardowicker Straße,10.5031696,53.2949054
node,469727032,Lübbelau,10.4989646,53.2938205
node,470357781,Finkenweg,10.3619305,53.2704586
node,471601011,"Lemgrabe, Am Hasenberg",10.7044397,53.1711381
node,471792857,Lilienthalstraße,10.4599879,53.2437212
node,471794057,Von-Stern-Straße,10.4625961,53.245733
node,471794059,Eisenwerk,10.4692372,53.249358
node,471796358,Gebrüder-Heyn-Straße,10.4656699,53.248161
node,471796360,Hagen-Schule,10.4473637,53.2440639
node,471796939,Wacholderweg,10.4425033,53.2452459
node,474746110,"Ventschau, Am Dicken Busch",10.851468,53.2045467
node,474746111,Abzweig Ventschau,10.8395718,53.2129576
node,475959143,Ahornweg,10.4381585,53.2465445
node,479506112,Adendorfer Straße,10.5003095,53.2907226
node,479506125,Boltersener Straße,10.5367548,53.2835213
node,479506128,"Boltersen, Rullstorfer Straße",10.5655161,53.2754359
node,479506131,Nutzfelder Weg,10.5301085,53.2861568
