"element_ty,C,80",osmid,"highway,C,80",name,"network,C,80","public_tra,C,80","bench,C,80","operator,C,80","ref_name,C,80","route_ref,C,80","shelter,C,80","tactile_pa,C,80","bicycle_pa,C,80","bus,C,80","lines,C,94","wheelchair,C,80","designatio,C,80","local_ref,C,80","source,C,80","bin,C,80","lastcheck,C,80","passenger_,C,80","name_HVV,C,80","lit,C,80","check_date,C,80","wheelcha_1,C,80","covered,C,80","note,C,96","ref,C,80","departures,C,80","fixme,C,80","removed_re,C,80","network_wi,C,80","network__1,C,80","descriptio,C,80","comment,C,80","name_note,C,80","toilets_wh,C,80","check_da_1,C,80","level,C,80","network_sh,C,80","name_descr,C,89","line,C,80","check_da_2,C,80","amenity,C,80","loc_name,C,80","railway,C,80","name_sourc,C,80","shelter_de,C,80","surface,C,80","nodes,C,80","layer,C,80"
node,1830066645,bus_stop,Abzweigung Bennerstedt,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8523611360,bus_stop,Lüneburger Straße,HVV,platform,yes,KVG,"Barendorf, L?neburger Stra?e",5300,5361,5362,AST,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4363687998,bus_stop,"Karze, An den Hauskoppeln",HVV,platform,yes,VOG,,5104,5111,5152-ASM,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,175237700,bus_stop,Universitätsallee,HVV,platform,,KVG,"L?neburg, Scharnhorststra?e (Ost)",,no,,,yes,5605,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,957142825,bus_stop,"Artlenburg, Grünstraße",HVV,platform,yes,,,,yes,,,,,,Gr?nstr.,Gr?nstr.,seb1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,293938369,bus_stop,Bei Mönchsgarten,HVV,platform,no,KVG,"L?neburg, Bei M?nchsgarten",5009,ASM,no,no,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,298511484,bus_stop,Hermann-Löns-Straße,HVV,platform,,KVG,"L?neburg, Hermann L?ns Stra?e",,yes,,,yes,5015,5110,5901,5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,114241120,bus_stop,Wilhelm-Leuschner-Straße,HVV,platform,yes,KVG,"L?neburg, Wilhelm-Leuschner-Stra?e",,yes,no,,yes,5011,5014,limited,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1459109815,bus_stop,Graf-von-Moltke-Straße,HVV,platform,yes,KVG,"L?neburg, Graf-von-Moltke-Stra?e",,yes,yes,,yes,5011,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,414692562,bus_stop,St.-Stephanus-Platz,HVV,platform,yes,KVG,"L?neburg, St.-Stephanus-Platz",,yes,yes,,yes,5011,5014,5300,5361,5362:5405,5700,5920,5120,yes,,,,yes,20141012,no,"L?neburg, St.-Stephanus-Platz",,,,,,,,,,,,,,,,,,,,,,
node,7960254627,bus_stop,Konrad-Adenauer-Straße,HVV,platform,yes,KVG,"L?neburg, Konrad-Adenauer-Stra?e",,no,yes,,yes,5011,5601,,,,,yes,20141012,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275404815,bus_stop,Waldfriedhof,HVV,platform,yes,KVG,"L?neburg, Waldfriedhof",,yes,no,,yes,5011,yes,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1872332223,bus_stop,Schäferfeld,HVV,platform,no,KVG,"L?neburg, Sch?ferfeld",,no,no,,yes,5011,,,,,yes,20141012,no,"L?neburg, Sch?ferfeld",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,279632687,bus_stop,Kurt-Schumacher-Straße,HVV,platform,no,KVG,"L?neburg, Kurt-Schuhmacher-Stra?e",,no,no,,yes,5011,,,,,yes,20141012,no,"L?neburg, Kurt-Schumacher-Stra?e",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,307769211,bus_stop,Blümchensaal,HVV,platform,no,KVG,"L?neburg, Bl?mchensaal",,no,no,,,5011,,,,,no,20141012,no,"L?neburg, Bl?mchensaal",,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1053737986,bus_stop,Theodor-Heuss-Straße,HVV,platform,yes,KVG,"L?neburg, Theodor-Heuss-Stra?e",,yes,no,,yes,5010,5014,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301861007,bus_stop,Venusberg (Johanneum),HVV,platform,yes,KVG,"L?neburg, Venusberg (Johanneum)",,yes,no,,yes,5014,5361,5362,5405,5920,5620,5700,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,
node,301860995,bus_stop,Ziegelkamp,HVV,platform,yes,KVG,"L?neburg, Ziegelkamp",,yes,yes,,yes,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,201192065,bus_stop,Am Schützenplatz,HVV,platform,no,KVG,"L?neburg, Am Sch?tzenplatz",,no,no,,yes,5007,5010,5011,5012,5014,5015,5100,5110,5300,5361,5901,5918,5920,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,
node,309164430,bus_stop,"Deutsch Evern, Triftstraße",,platform,,,,5020,5606,ASM,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,272771855,bus_stop,Becklingen,,platform,,,,5303,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,311743901,bus_stop,"Radbruch, Schäfer-Ast-Straße",,platform,,,,5403,yes,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4133634392,bus_stop,"Thomasburg, Radenbecker Weg",,platform,,,,5114,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313574492,bus_stop,Abzweig Dumstorf,HVV,platform,yes,KVG,"Dahlenburg, Abzweig Dumstorf",5300,5304,yes,no,,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3790432850,bus_stop,"Kästorf, Abzw. Barskamp",,platform,,,,5103,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1713950571,bus_stop,Abzweig Radenbeck,HVV,platform,yes,,"Radenbeck, Abzweig Radenbeck",,yes,no,,,"5300, 5304, 5361",,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369792808,bus_stop,Mitte / B216,HVV,platform,yes,KVG,"Bavendorf, Mitte / B216",5300,5304,5361,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,319989751,bus_stop,Breetzer Straße,HVV,platform,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,276915521,bus_stop,Wichernstraße,HVV,platform,,KVG,"L?neburg, Wichernstra?e",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1690093376,bus_stop,Anna-Vogeley-Heim,HVV,platform,,KVG,"L?neburg, Anna-Vogeley-Heim",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1690093389,bus_stop,Am Elsenbruch,HVV,platform,,KVG,"L?neburg, Am Elsenbruch",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322053789,bus_stop,Röntgenstraße / Kirche,HVV,platform,,KVG,"L?neburg, R?ntgenstra?e (Kirche)",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322051827,bus_stop,Röntgenstraße,HVV,platform,,KVG,"L?neburg, R?ntgenstra?e",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322053484,bus_stop,Planckstraße,HVV,platform,,KVG,"L?neburg, Planckstra?e",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,323130818,bus_stop,Neetzebrücke,HVV,platform,,KVG,"Neetze, Neetzebr?cke",5100,5110,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,333248611,bus_stop,Reichenbachplatz,HVV,platform,yes,KVG,"L?neburg, Reichenbachplatz",,yes,yes,,yes,,yes,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,332606128,bus_stop,Bürgeramt,HVV,platform,no,KVG,"L?neburg, B?rgeramt",,no,yes,,yes,5002,5010,5014,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336363945,bus_stop,"Radenbeck, Siedlung",HVV,platform,,,,,,,,,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,314666239,bus_stop,Markt,HVV,platform,,,"Dahlenburg, Markt",5103,5300,5301,5302,5303,5304,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,317179812,bus_stop,Meisterweg,HVV,platform,,KVG,"L?neburg, Meisterweg",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,705465966,bus_stop,Hansestraße,HVV,platform,yes,KVG,"L?neburg, Hansestra?e",,yes,yes,,yes,5015,,,,,yes,20141213,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,296886493,bus_stop,Henningstra?e,HVV,platform,,KVG,"L?neburg, Henningstra?e",,,,,yes,5007,5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,201192013,bus_stop,Pulverweg (Nord),HVV,platform,,KVG,"L?neburg, Pulverweg Nord",,no,no,,yes,5007,5012,5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274309813,bus_stop,Theodor-Haubach-Straße,HVV,platform,no,KVG,"L?neburg, Theodor-Haubach-Stra?e",,no,no,,yes,5014,limited,,,,no,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,114240790,bus_stop,Bülows Kamp,HVV,platform,yes,KVG,"L?neburg, B?lows Kamp",,yes,no,,yes,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,414685401,bus_stop,Klosterkamp,HVV,platform,yes,KVG,"L?neburg, Klosterkamp",,yes,no,,yes,5014,,,,,no,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1249144962,bus_stop,Hermann-Wagner-Straße,HVV,platform,no,KVG,"L?neburg, Hermann-Wagner-Stra?e",,no,no,,,5014,,,,,yes,20141012,no,,,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,282853219,bus_stop,Hinrich-Wilhelm-Kopf-Straße,HVV,platform,no,KVG,"L?neburg, Hinrich-Wilhelm-Kopf-Stra?e",,no,no,,yes,5014,,,,,yes,20141012,no,"L?neburg, Hinrich-Wilhelm-Kopf-Stra?e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,452997887,bus_stop,"Handorf, Grundschule",HVV,platform,no,KVG,,5402,ASM,no,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2301671297,bus_stop,Im Kirchfelde,HVV,platform,yes,,"Mechtersen, Im Kirchfelde",5009,5404,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292157701,bus_stop,"Barum, Am Sportplatz",HVV,platform,no,KVG,"Barum, Am Sportplatz",5405,no,no,,,,,,,,no,,,,,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4013236506,bus_stop,Am Sande,HVV,platform,yes,,"L?neburg, Am Sande A",5001,5003,5007,5011,5012,5015,5600,5605,5700,yes,no,,yes,,yes,,A,,yes,,,"L?neburg, Am Sande (BereichA)",yes,,,,,,,,,,,,,,,,,,,,
node,7173992955,bus_stop,Oedeme Dorf,HVV,platform,yes,KVG,"L?neburg, Oedeme Dorf",5007,5201,5203,ASM,yes,no,,,,,,,,yes,,,,,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,
node,374359791,bus_stop,Im Kamp,HVV,platform,no,KVG,"L?neburg, Im Kamp",5007,5920,ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,276915516,bus_stop,Scharnhorststraße/DJH,HVV,platform,,KVG,"L?neburg, Scharnhorststra?e/DJH",,no,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1658400344,bus_stop,Blücherstraße,HVV,platform,yes,KVG,"L?neburg, Bl?cherstra?e",,yes,yes,,yes,5011,5012,5600,5605,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
node,249238920,bus_stop,Imkerstieg,HVV,platform,yes,KVG,"L?neburg, Imkerstieg",5005,ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,387439255,bus_stop,Neue Straße,HVV,platform,no,KVG,"Adendorf, Neue Stra?e",,no,no,,yes,5006,5007,,,,,,,,,,2021-05-22,,,Position eingemessen,618398,,,,,,,,,,,,,,,,,,,,,,
node,546443116,bus_stop,Danziger Weg,HVV,platform,yes,KVG,"Adendorf, Danziger Weg",,yes,yes,,,,,,,,,,,,no,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268638584,bus_stop,MTV-Platz,HVV,platform,yes,KVG,"L?neburg, MTV-Platz",,yes,no,,yes,,,,,,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
