,name,element_type,osmid,x,y,geometry,passengers,cluster
0,Universitätsallee,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),2,4.0
1,Bei Mönchsgarten,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),6,10.0
2,Hermann-Löns-Straße,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),2,6.0
3,Wilhelm-Leuschner-Straße,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),7,7.0
4,Graf-von-Moltke-Straße,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),9,7.0
5,St.-Stephanus-Platz,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),9,7.0
6,Konrad-Adenauer-Straße,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),6,8.0
7,Waldfriedhof,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),6,14.0
8,Schäferfeld,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),5,8.0
9,Kurt-Schumacher-Straße,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),10,8.0
10,Blümchensaal,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),4,8.0
11,Theodor-Heuss-Straße,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),5,3.0
12,Venusberg (Johanneum),node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),5,3.0
13,Ziegelkamp,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),9,3.0
14,Am Schützenplatz,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),7,3.0
15,Wichernstraße,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,4.0
16,Anna-Vogeley-Heim,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),1,4.0
17,Am Elsenbruch,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),6,4.0
18,Röntgenstraße / Kirche,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),2,4.0
19,Röntgenstraße,node,322051838,10.4028648,53.2207693,POINT (10.4028648 53.2207693),4,4.0
20,Planckstraße,node,322053787,10.404717,53.2192047,POINT (10.404717 53.2192047),3,4.0
21,Reichenbachplatz,node,332563449,10.4106941,53.2531248,POINT (10.4106941 53.2531248),4,8.0
22,Bürgeramt,node,333235522,10.4092892,53.2522431,POINT (10.4092892 53.2522431),6,8.0
