name,passengers
Universitätsallee,4
Bei Mönchsgarten,5
Hermann-Löns-Straße,5
Wilhelm-Leuschner-Straße,9
Graf-von-Moltke-Straße,3
St.-Stephanus-Platz,7
Konrad-Adenauer-Straße,10
Waldfriedhof,7
Schäferfeld,10
Kurt-Schumacher-Straße,9
Blümchensaal,6
Theodor-Heuss-Straße,2
Venusberg (Johanneum),3
Ziegelkamp,8
Am Schützenplatz,8
Wichernstraße,4
Anna-Vogeley-Heim,7
Am Elsenbruch,6
Röntgenstraße / Kirche,5
Röntgenstraße,2
Planckstraße,7
Reichenbachplatz,1
Bürgeramt,2
Markt,0
Meisterweg,2
Hansestraße,5
Henningstraße,5
Pulverweg (Nord),7
Theodor-Haubach-Straße,8
Bülows Kamp,10
Klosterkamp,10
Hermann-Wagner-Straße,10
Hinrich-Wilhelm-Kopf-Straße,11
Am Sande,8
Oedeme Dorf,3
Im Kamp,1
Scharnhorststraße/DJH,5
Blücherstraße,10
Imkerstieg,4
MTV-Platz,5
Kurpark,12
Uelzener Straße (Kurzentrum),3
Munstermannskamp,1
Osterwiese,4
Klosterweg,3
Ginsterweg,5
Am Schwalbenberg,8
Wallstraße (Theater),8
Postamt,5
Hasenburg,5
Eintracht Sportplatz,5
Am Bahnhof Rettmer,4
Wiesengrund,3
Pilgerpfad,8
Am Wischfeld,5
Hessenweg (Mitte),3
Am Bäckfeld,2
Häcklinger Weg,7
Stadttheater,8
Sültenweg,2
Am Grasweg,4
Jägerstraße,1
Johanna-Stegen-Straße,3
Vor dem Neuen Tore,1
Dörnbergstraße,4
Witzendorffstraße,4
Ebelingweg,8
Naruto-Straße,2
Krähornsberg,6
Teilfeld,4
Wilhelm-Hänel-Weg,3
Am Wildgehege,3
Laffertstraße,4
Schomakerstraße,5
Am Springintgut,7
Am Graalwall,11
Neue Sülze,8
Lambertiplatz,5
Rathaus,6
Kefersteinstraße (UNI),4
Schützenstraße,0
Am Kreideberg,10
Stöteroggestraße (Süd),4
Boizenburger Straße,10
Thorner Straße (West),4
Thorner Platz,13
Salzwedeler Straße,7
Elbinger Straße,12
Dessauer Straße,7
Magdeburger Straße,7
Stöteroggestraße (Nord),2
Hasenburger Weg,6
Lilienthalstraße,4
Von-Stern-Straße,6
Eisenwerk,1
Gebrüder-Heyn-Straße,3
Hagen-Schule,3
Wacholderweg,3
Ahornweg,1
Landwehr,4
Hagemannsweg,2
Rote Schleuse,4
Bernhard-Riemann-Straße,2
Kulturforum Wienebüttel,7
Schwarzer Weg,6
Gut Olm,4
Abzweigung Ebensberg,4
Hölderlinstraße,3
Ostlandring,5
Freibad,2
Goebelstraße,2
Otto-Brenner-Straße (Kehre),4
Sternkamp,1
Bunsenstraße,3
Bachstraße,1
Rosenkamp,7
Schmiedestraße,9
Rehrweg,11
Volgershall/UNI,3
Städtisches Klinikum,2
Behördenzentrum (Ost),4
Psychiatrische Klinik,4
Bei der Pferdehütte,2
Alec-Moore-Straße,9
Am Bargenturm,8
Heidkoppelweg,4
Memeler Straße,4
William-Watt-Straße,6
Allensteiner Straße,4
Jüttkenmoor,2
Am Ziegeleiteich,7
Steinweg,0
Friedrich-Ludwig-Jahn-Straße,4
Rotes Tor,7
Goethestraße,5
Hagen Wendeplatz,2
Hopfengarten,9
Wielandstraße,6
Hans-Steffens-Weg,4
Gaußstraße,4
Heinrich-Böll-Straße,1
Carl-von-Ossietzky-Straße,6
Otto-Brenner-Straße,2
Flugplatz,4
Walter-Bötcher-Straße,2
Stadtkoppel,2
Kurt-Höbold-Straße,2
Richard-Brauer-Straße,4
Elso-Klöver-Straße,1
Gellersstraße,10
Wilhelm-Fressel-Straße,1
Schildsteinweg,7
Finanzamt,3
Auf dem Schmaarkamp,1
Auf der Hude,4
Tennispark,4
Brockwinkler Weg,7
Neu Häcklingen,5
Zeltberg,4
Pumpenstation,6
Vrestorfer Weg,6
Teufelsküche,3
Ernst-Braune-Straße,5
Leuphana,2
Lüner Rennbahn,1
Schlachthof,8
Auf den Blöcken,10
Bessemerstraße,2
SZ Kaltenmoor,9
Rettmer (Mitte),2
Kloster Lüne,1
Hasenburger Berg,7
Zentralfriedhof,7
Am Eiskeller,6
Auf dem Knieberg,4
Heidkamp,9
Meinekenhop,6
Ringstraße,0
Soltauer Straße (Kurzentrum),5
Clamartpark,6
Hasenburger Schule,4
Rosenkamp Wendeplatz,5
Övelgönner Weg,4
Königsberger Straße,4
Am Graben,1
Böcklerstraße/TÜV,5
Eisenbahnbrücke,6
Goseburgstraße,2
Ilmenaucenter,4
Konrad-Zuse-Allee,7
EDEKA,8
Brockwinklerweg,0
An der Roten Bleiche (Universität),5
Feldstraße (Universität),8
GHS Kreideberg,9
Herderschule,6
Spechtsweg,8
Kanalbrücke,6
Veilchenring,8
Tartuer Platz,1
Konrad-Adenauer-Straße Ost,12
