,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,check_date:bench,source,line,surface;;;;;;;;;;;;;;;;;;
0,yes,bus_stop,5605;",Universitätsallee,HVV,KVG,platform,""Lüneburg, Scharnhorststraße (Ost)"",no,yes,53.2300910,10.4052614,270544778,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"1,,bus_stop,,Bei Mönchsgarten,HVV,KVG,platform,""Lüneburg, Bei Mönchsgarten"",no,limited,53.2529278,10.3904939,293938387,no,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
2,yes,bus_stop,5015;5110;5901;" 5918,Hermann-Löns-Straße,HVV,KVG,platform,""Lüneburg, Hermann Löns Straße"",yes,,53.2611082,10.4357546,298512342,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
3,yes,bus_stop,5007;5110;5901;" 5918,Hermann-Löns-Straße,HVV,KVG,platform,""Lüneburg, Hermann Löns Straße"",yes,,53.2609792,10.4357131,298512345,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
4,yes,bus_stop,5011;"5014,Wilhelm-Leuschner-Straße,HVV,KVG,platform,""Lüneburg, Wilhelm-Leuschner-Straße"",yes,limited,53.2363470,10.4442936,304485121,yes,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
5,yes,bus_stop,5011;"5014,Graf-von-Moltke-Straße,HVV,KVG,platform,""Lüneburg, Graf-von-Moltke-Straße"",yes,,53.2372693,10.4385436,304485122,yes,,yes,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
6,yes,bus_stop,5011;5014;5300;5361;5362:5405;5700;5920;"5120,St.-Stephanus-Platz,HVV,KVG,platform,""Lüneburg, St.-Stephanus-Platz"",yes,yes,53.2385554,10.4347836,304485123,yes,,yes,yes,20141012,no,""Lüneburg, St.-Stephanus-Platz"",,,,,,,,,,,,,,,,,";;;;;;;;;;;
7,yes,bus_stop,5011;"5601,Konrad-Adenauer-Straße,HVV,KVG,platform,""Lüneburg, Konrad-Adenauer-Straße"",no,,53.2377656,10.4319275,304485135,yes,,yes,yes,20141012,no,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"8,yes,bus_stop,5011,Waldfriedhof,HVV,KVG,platform,""Lüneburg, Waldfriedhof"",yes,yes,53.2361294,10.4296530,304485136,yes,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"9,yes,bus_stop,5011,Schäferfeld,HVV,KVG,platform,""Lüneburg, Schäferfeld"",no,,53.2378491,10.4287246,304485137,no,,no,yes,20141012,no,""Lüneburg, Schäferfeld"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"10,yes,bus_stop,5011,Kurt-Schumacher-Straße,HVV,KVG,platform,""Lüneburg, Kurt-Schuhmacher-Straße"",no,,53.2401354,10.4269383,304485138,no,,no,yes,20141012,no,""Lüneburg, Kurt-Schumacher-Straße"",no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"11,,bus_stop,5011,Blümchensaal,HVV,KVG,platform,""Lüneburg, Blümchensaal"",no,,53.2433336,10.4230445,304485140,no,,no,no,20141012,no,""Lüneburg, Blümchensaal"",,2021-05-05,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
12,yes,bus_stop,5010;" 5014,Theodor-Heuss-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Heuss-Straße"",yes,,53.2462219,10.4329576,304911409,yes,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
13,yes,bus_stop,5014;5361;5362;5405;5920;5620;" 5700,Venusberg (Johanneum),HVV,KVG,platform,""Lüneburg, Venusberg (Johanneum)"",yes,,53.2465477,10.4303141,304911410,yes,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;
"14,yes,bus_stop,5014,Ziegelkamp,HVV,KVG,platform,""Lüneburg, Ziegelkamp"",yes,,53.2474105,10.4276158,304911411,yes,,yes,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
15,yes,bus_stop,5007;5010;5011;5012;5014;5015;5100;5110;5300;5361;5901;5918;"5920,Am Schützenplatz,HVV,KVG,platform,""Lüneburg, Am Schützenplatz"",no,,53.2487451,10.4236403,304911412,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;
"16,yes,bus_stop,,Reichenbachplatz,HVV,KVG,platform,""Lüneburg, Reichenbachplatz"",yes,yes,53.2531248,10.4106941,332563449,yes,,yes,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
17,yes,bus_stop,5002;5010;" 5014,Bürgeramt,HVV,KVG,platform,""Lüneburg, Bürgeramt"",no,,53.2522431,10.4092892,333235522,no,,yes,yes,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
"18,yes,bus_stop,,Reichenbachplatz,HVV,KVG,platform,""Lüneburg, Reichenbachplatz"",yes,,53.2528422,10.4105282,333258136,yes,,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"19,yes,bus_stop,,Meisterweg,HVV,KVG,platform,""Lüneburg, Meisterweg"",,,53.2599086,10.4317204,349269969,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
20,yes,bus_stop,5007;5015;5110;5900;5901;" 5931,Meisterweg,HVV,KVG,platform,""Lüneburg, Meisterweg"",,,53.2598293,10.4319211,349269971,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;
"21,yes,bus_stop,5015,Hansestraße,HVV,KVG,platform,""Lüneburg, Hansestraße"",yes,,53.2555935,10.4261391,349269973,yes,,yes,yes,20141213,no,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"22,yes,bus_stop,5015,Hansestraße,HVV,KVG,platform,""Lüneburg, Hansestraße"",no,,53.2553319,10.4263779,349269974,no,,no,yes,20141213,no,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
23,yes,bus_stop,5007;" 5015,Henningstraße,HVV,KVG,platform,""Lüneburg, Henningstraße"",,,53.2525633,10.4233245,349269976,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
24,yes,bus_stop,5007;" 5015,Henningstraße,HVV,KVG,platform,""Lüneburg, Henningstraße"",,,53.2524243,10.4234313,349269977,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
25,yes,bus_stop,5007;5012;" 5015,Pulverweg (Nord),HVV,KVG,platform,""Lüneburg, Pulverweg Nord"",no,,53.2511748,10.4224580,349269979,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
"26,,bus_stop,5011,Blümchensaal,HVV,KVG,platform,""Lüneburg, Blümchensaal"",no,,53.2431934,10.4230100,349269980,no,,no,no,20141012,no,""Lüneburg, Blümchensaal"",,2021-05-05,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"27,yes,bus_stop,5011,Kurt-Schumacher-Straße,HVV,KVG,platform,""Lüneburg, Kurt-Schuhmacher-Straße"",no,,53.2405006,10.4261700,349269981,no,,no,yes,20141012,no,""Lüneburg, Kurt-Schumacher-Straße"",yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"28,yes,bus_stop,5011,Schäferfeld,HVV,KVG,platform,""Lüneburg, Schäferfeld"",no,,53.2377597,10.4285451,349269983,no,,no,yes,20141012,no,""Lüneburg, Schäferfeld"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
29,yes,bus_stop,5011;"5610,Konrad-Adenauer-Straße,HVV,KVG,platform,""Lüneburg, Konrad-Adenauer-Straße"",no,,53.2377201,10.4313127,349269984,no,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
30,yes,bus_stop,5011;5014;5361;"5362,St.-Stephanus-Platz,HVV,KVG,platform,""Lüneburg, St.-Stephanus-Platz"",yes,yes,53.2383835,10.4348131,349277045,yes,,yes,yes,20141012,no,""Lüneburg, St.-Stephanus-Platz"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
31,yes,bus_stop,5011;"5014,Graf-von-Moltke-Straße,HVV,KVG,platform,""Lüneburg, Graf-von-Moltke-Straße"",no,,53.2366261,10.4398100,349277050,no,,yes,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"32,yes,bus_stop,5011,Wilhelm-Leuschner-Straße,HVV,KVG,platform,""Lüneburg, Wilhelm-Leuschner-Straße"",no,,53.2361980,10.4439324,349277053,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"33,yes,bus_stop,5014,Wilhelm-Leuschner-Straße,HVV,KVG,platform,""Lüneburg, Wilhelm-Leuschner-Straße"",no,limited,53.2360020,10.4439416,349277058,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"34,yes,bus_stop,5014,Theodor-Haubach-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Haubach-Straße"",no,limited,53.2341433,10.4422643,349277062,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"35,yes,bus_stop,,Theodor-Haubach-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Haubach-Straße"",no,limited,53.2342571,10.4424649,349277066,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
