name;Universitätsallee;Bei Mönchsgarten;Hermann-Löns-Straße;Wilhelm-Leuschner-Straße;Graf-von-Moltke-Straße;St.-Stephanus-Platz;Konrad-Adenauer-Straße;Waldfriedhof;Schäferfeld;Kurt-Schumacher-Straße;Blümchensaal;Theodor-Heuss-Straße;Venusberg (Johanneum);Ziegelkamp;Am Schützenplatz;Wichernstraße;Anna-Vogeley-Heim;Am Elsenbruch;Röntgenstraße / Kirche;Röntgenstraße;Planckstraße;Reichenbachplatz;Bürgeramt;Meisterweg;Hansestraße;Henningstraße;Pulverweg (Nord);Theodor-Haubach-Straße;Bülows Kamp;Klosterkamp;Hermann-Wagner-Straße;Hinrich-Wilhelm-Kopf-Straße;Am Sande;Oedeme Dorf;Im Kamp;Scharnhorststraße/DJH;Blücherstraße;Imkerstieg;MTV-Platz;Kurpark;Uelzener Straße (Kurzentrum);Munstermannskamp;Osterwiese;Klosterweg;Ginsterweg;Am Schwalbenberg;Wallstraße (Theater);Postamt;Hasenburg;Eintracht Sportplatz;Am Bahnhof Rettmer;Wiesengrund;Pilgerpfad;Am Wischfeld;Hessenweg (Mitte);Am Bäckfeld;Häcklinger Weg;Stadttheater;Sültenweg;Am Grasweg;Jägerstraße;Johanna-Stegen-Straße;Vor dem Neuen Tore;Dörnbergstraße;Witzendorffstraße;Ebelingweg;Naruto-Straße;Krähornsberg;Teilfeld;Wilhelm-Hänel-Weg;Am Wildgehege;Laffertstraße;Schomakerstraße;Am Springintgut;Am Graalwall;Neue Sülze;Lambertiplatz;Markt;Rathaus;Kefersteinstraße (UNI);Am Kreideberg;Stöteroggestraße (Süd);Boizenburger Straße;Thorner Straße (West);Thorner Platz;Salzwedeler Straße;Elbinger Straße;Dessauer Straße;Magdeburger Straße;Stöteroggestraße (Nord);Hasenburger Weg;Lilienthalstraße;Von-Stern-Straße;Eisenwerk;Gebrüder-Heyn-Straße;Hagen-Schule;Wacholderweg;Ahornweg;Landwehr;Hagemannsweg;Rote Schleuse;Bernhard-Riemann-Straße;Kulturforum Wienebüttel;Schwarzer Weg;Gut Olm;Abzweigung Ebensberg;Hölderlinstraße;Ostlandring;Freibad;Goebelstraße;Otto-Brenner-Straße (Kehre);Sternkamp;Bunsenstraße;Bachstraße;Rosenkamp;Schmiedestraße;Rehrweg;Volgershall/UNI;Städtisches Klinikum;Behördenzentrum (Ost);Psychiatrische Klinik;Bei der Pferdehütte;Alec-Moore-Straße;Am Bargenturm;Heidkoppelweg;Memeler Straße;William-Watt-Straße;Allensteiner Straße;Jüttkenmoor;Am Ziegeleiteich;Friedrich-Ludwig-Jahn-Straße;Rotes Tor;Goethestraße;Hagen Wendeplatz;Hopfengarten;Wielandstraße;Hans-Steffens-Weg;Gaußstraße;Heinrich-Böll-Straße;Carl-von-Ossietzky-Straße;Otto-Brenner-Straße;Flugplatz;Schützenstraße;Walter-Bötcher-Straße;Stadtkoppel;Kurt-Höbold-Straße;Richard-Brauer-Straße;Elso-Klöver-Straße;Gellersstraße;Wilhelm-Fressel-Straße;Schildsteinweg;Finanzamt;Auf dem Schmaarkamp;Auf der Hude;Tennispark;Brockwinkler Weg;Neu Häcklingen;Zeltberg;Pumpenstation;Vrestorfer Weg;Teufelsküche;Ernst-Braune-Straße;Leuphana;Lüner Rennbahn;Schlachthof;Auf den Blöcken;Bessemerstraße;SZ Kaltenmoor;Rettmer (Mitte);Kloster Lüne;Hasenburger Berg;Zentralfriedhof;Am Eiskeller;Auf dem Knieberg;Heidkamp;Meinekenhop;Ringstraße;Soltauer Straße (Kurzentrum);Clamartpark;Hasenburger Schule;Rosenkamp Wendeplatz;Steinweg;Övelgönner Weg;Königsberger Straße;Am Graben;Böcklerstraße/TÜV;Eisenbahnbrücke;Goseburgstraße;Ilmenaucenter;Konrad-Zuse-Allee;EDEKA;Brockwinklerweg;An der Roten Bleiche (Universität);Feldstraße (Universität);GHS Kreideberg;Herderschule;Spechtsweg;Kanalbrücke;Veilchenring;Tartuer Platz;Konrad-Adenauer-Straße Ost
Universitätsallee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;887.0920000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;253.88400000000004;0.0;0.0;1025.2440000000001;0.0;0.0;0.0;1204.0939999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;737.954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;803.093;0.0;739.1520000000002;0.0;0.0;0.0;0.0;0.0;492.98299999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;306.601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;919.2070000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1135.252;0.0;0.0;0.0;1137.682;0.0;0.0;0.0;0.0
Bei Mönchsgarten;0.0;0.0;0.0;0.0;0.0;0.0;4161.068999999999;0.0;3976.427999999999;0.0;0.0;0.0;0.0;0.0;2744.6289999999995;0.0;0.0;0.0;0.0;0.0;0.0;1446.9029999999993;1501.7859999999994;0.0;3096.2659999999973;0.0;2381.9239999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2988.108999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;335.26;0.0;0.0;0.0;0.0;0.0;3287.5249999999987;0.0;673.6980000000001;885.3390000000002;737.7579999999997;1024.632;0.0;0.0;0.0;1297.0569999999996;0.0;1290.2929999999997;1218.8219999999992;0.0;0.0;0.0;1787.7579999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4172.592999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2919.8910000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.95900000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1748.2289999999998;2315.125000000001;0.0;0.0;0.0;0.0;2730.088000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3596.1209999999974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2588.6250000000014;0.0;0.0;0.0;0.0;2471.745000000001;2257.304999999997;0.0;0.0;0.0;2819.508999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Hermann-Löns-Straße;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;416.24899999999997;0.0;0.0;0.0;0.0;4745.761000000003;4881.0300000000025;4865.913000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3180.745;0.0;0.0;0.0;0.0;0.0;2370.8250000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;532.482;0.0;0.0;0.0;0.0;0.0;1841.2060000000001;2143.3270000000016;0.0;0.0;0.0;0.0;0.0;2321.433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2831.1190000000006;0.0;0.0;2122.891;0.0;0.0;0.0;0.0;0.0;0.0;2239.5499999999997;2129.8790000000004;0.0;0.0;4744.434000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3765.5720000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5128.829000000001;0.0;2020.2079999999996;4619.527000000003
Wilhelm-Leuschner-Straße;0.0;0.0;0.0;0.0;413.2369999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;293.19399999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Graf-von-Moltke-Straße;0.0;0.0;0.0;413.2369999999999;0.0;283.255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;706.4309999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
St.-Stephanus-Platz;0.0;0.0;0.0;0.0;283.255;0.0;286.50199999999995;0.0;0.0;0.0;0.0;928.629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;989.088;0.0;0.0;0.0;175.562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1105.742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.17600000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1322.8000000000002
Konrad-Adenauer-Straße;0.0;4161.068999999999;0.0;0.0;0.0;286.50199999999995;0.0;0.0;266.771;468.93399999999997;0.0;1100.0149999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2961.5939999999996;2964.4909999999995;0.0;0.0;0.0;0.0;852.3060000000003;0.0;0.0;0.0;287.82599999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2675.282000000001;2462.6530000000002;0.0;0.0;0.0;0.0;0.0;0.0;2334.2500000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1989.2830000000001;0.0;0.0;0.0;0.0;0.0;3832.379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3594.4299999999985;0.0;0.0;0.0;2499.5119999999997;3076.453999999999;0.0;2045.5310000000004;3348.1879999999987;3543.604999999998;0.0;0.0;4223.0369999999975;4043.0479999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4901.030000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4434.582000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1922.5740000000003;0.0;0.0;0.0;2411.5670000000005;0.0;0.0;0.0;0.0;0.0;0.0;1277.128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3103.5079999999994;3829.8159999999993;3438.297999999999;0.0;0.0;0.0;4244.778999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303.258999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2457.04;1989.597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3812.6869999999994;2974.2699999999995;0.0;0.0;0.0;1604.7600000000002;0.0;0.0;1661.942;0.0;0.0;0.0;1172.8200000000004
Waldfriedhof;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;196.537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Schäferfeld;0.0;3976.427999999999;0.0;0.0;0.0;0.0;266.771;196.537;0.0;284.29300000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2776.952999999999;2779.849999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2490.6410000000005;2278.0119999999997;0.0;0.0;0.0;0.0;0.0;0.0;2149.609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1804.6419999999998;0.0;0.0;0.0;0.0;0.0;3647.7379999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3409.788999999998;0.0;3065.524999999999;0.0;2314.870999999999;2891.8129999999983;0.0;1860.89;3163.546999999998;3358.9639999999977;0.0;0.0;4038.3959999999984;3858.406999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4517.3510000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4249.9410000000025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1737.933;0.0;0.0;0.0;2226.926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2918.866999999999;3645.174999999999;3253.6569999999983;0.0;0.0;0.0;4060.1379999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4118.617999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2272.3989999999994;1804.9559999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3628.045999999999;2789.628999999999;0.0;0.0;0.0;1420.119;0.0;0.0;1477.3009999999997;0.0;0.0;0.0;0.0
Kurt-Schumacher-Straße;0.0;0.0;0.0;0.0;0.0;0.0;468.93399999999997;0.0;284.29300000000006;0.0;450.831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2692.8040000000005;2480.1749999999997;0.0;0.0;0.0;0.0;0.0;0.0;2351.772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2006.805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2517.033999999999;0.0;0.0;2063.0530000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.0960000000002;0.0;0.0;0.0;2429.089000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2474.5619999999994;2007.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1622.2820000000002;0.0;0.0;1679.464;0.0;0.0;0.0;0.0
