,element_type,osmid,name,geometry,passengers
0,node,1830066645,Abzweigung Bennerstedt,POINT (10.4869702 53.3146462),0
1,node,8523611360,Lüneburger Straße,POINT (10.5227006 53.2288511),4
2,node,4363687998,"Karze, An den Hauskoppeln",POINT (10.6739869 53.314295),0
3,node,175237700,Universitätsallee,POINT (10.4052614 53.230091),5
4,node,957142825,"Artlenburg, Grünstraße",POINT (10.4921805 53.3719336),2
5,node,293938369,Bei Mönchsgarten,POINT (10.3904939 53.2529278),8
6,node,298511484,Hermann-Löns-Straße,POINT (10.4357546 53.2611082),9
7,node,114241120,Wilhelm-Leuschner-Straße,POINT (10.4442936 53.236347),10
8,node,1459109815,Graf-von-Moltke-Straße,POINT (10.4385436 53.2372693),12
9,node,414692562,St.-Stephanus-Platz,POINT (10.4347836 53.2385554),17
10,node,7960254627,Konrad-Adenauer-Straße,POINT (10.4319275 53.2377656),15
11,node,275404815,Waldfriedhof,POINT (10.429653 53.2361294),7
12,node,1872332223,Schäferfeld,POINT (10.4287246 53.2378491),10
13,node,279632687,Kurt-Schumacher-Straße,POINT (10.4269383 53.2401354),24
14,node,307769211,Blümchensaal,POINT (10.4230445 53.2433336),16
15,node,1053737986,Theodor-Heuss-Straße,POINT (10.4329576 53.2462219),8
16,node,301861007,Venusberg (Johanneum),POINT (10.4303141 53.2465477),8
17,node,301860995,Ziegelkamp,POINT (10.4276158 53.2474105),8
18,node,201192065,Am Schützenplatz,POINT (10.4236403 53.2487451),15
19,node,309164430,"Deutsch Evern, Triftstraße",POINT (10.4383763 53.2028361),4
20,node,272771855,Becklingen,POINT (10.638701 53.1685565),6
21,node,311743901,"Radbruch, Schäfer-Ast-Straße",POINT (10.2858188 53.3115371),10
22,node,4133634392,"Thomasburg, Radenbecker Weg",POINT (10.6537654 53.2297167),4
23,node,313574492,Abzweig Dumstorf,POINT (10.6967738 53.1893837),5
24,node,3790432850,"Köstorf, Abzw. Barskamp",POINT (10.7566624 53.2330487),4
25,node,1713950571,Abzweig Radenbeck,POINT (10.6206885 53.2012926),6
26,node,369792808,Mitte / B216,POINT (10.6378781 53.1973134),4
27,node,319989751,Breetzer Straße,POINT (10.7248594 53.2821702),5
28,node,276915521,Wichernstraße,POINT (10.397792 53.2268409),7
29,node,1690093376,Anna-Vogeley-Heim,POINT (10.3984829 53.2251001),0
30,node,1690093389,Am Elsenbruch,POINT (10.4012942 53.2245326),8
31,node,322053789,Röntgenstraße / Kirche,POINT (10.4024801 53.2227054),10
32,node,322051827,Röntgenstraße,POINT (10.4028648 53.2207693),4
33,node,322053484,Planckstraße,POINT (10.404717 53.2192047),2
34,node,323130818,Neetzebrücke,POINT (10.6150702 53.2650616),7
35,node,333248611,Reichenbachplatz,POINT (10.4106941 53.2531248),3
36,node,332606128,Bürgeramt,POINT (10.4092892 53.2522431),12
37,node,336363945,"Radenbeck, Siedlung",POINT (10.6264241 53.2178751),5
38,node,314666239,Markt,POINT (10.7418278 53.1870816),10
39,node,317179812,Meisterweg,POINT (10.4317204 53.2599086),11
40,node,705465966,Hansestraße,POINT (10.4261391 53.2555935),11
41,node,296886493,Henningstraße,POINT (10.4233245 53.2525633),9
42,node,201192013,Pulverweg (Nord),POINT (10.422458 53.2511748),17
43,node,274309813,Theodor-Haubach-Straße,POINT (10.4422643 53.2341433),12
44,node,114240790,Bülows Kamp,POINT (10.4459154 53.2314995),13
45,node,414685401,Klosterkamp,POINT (10.4460096 53.2292609),19
46,node,1249144962,Hermann-Wagner-Straße,POINT (10.4441928 53.2288883),13
47,node,282853219,Hinrich-Wilhelm-Kopf-Straße,POINT (10.4337268 53.2393598),17
48,node,452997887,"Handorf, Grundschule",POINT (10.3467072 53.3419322),0
49,node,2301671297,Im Kirchfelde,POINT (10.3196032 53.2800856),4
50,node,292157701,"Barum, Am Sportplatz",POINT (10.4088761 53.3509372),10
51,node,4013236506,Am Sande,POINT (10.4107075 53.2477583),8
52,node,7173992955,Oedeme Dorf,POINT (10.3769693 53.228942),9
53,node,374359791,Im Kamp,POINT (10.3850765 53.2222253),4
54,node,276915516,Scharnhorststraße/DJH,POINT (10.3971229 53.2300297),4
55,node,1658400344,Blücherstraße,POINT (10.4000814 53.2311691),8
56,node,249238920,Imkerstieg,POINT (10.388762 53.2746341),11
57,node,387439255,Neue Straße,POINT (10.431328 53.274525),1
58,node,546443116,Danziger Weg,POINT (10.4383568 53.2816633),1
59,node,268638584,MTV-Platz,POINT (10.4049563 53.2353498),12
60,node,111246549,Kurpark,POINT (10.4043801 53.2384105),0
61,node,114242620,Uelzener Straße (Kurzentrum),POINT (10.4044333 53.2404345),13
62,node,305382797,Munstermannskamp,POINT (10.4052689 53.232103),9
